"","metaanalysisid","site","n1","n2","y1","y2","ZI_study","zi_rate","n_study","b0","b1"
"1",1,1,50,50,2,1,0,0.25,10,-3.929,-3.929
"2",1,2,50,50,1,1,0,0.25,10,-3.929,-3.929
"3",1,3,50,50,2,3,0,0.25,10,-3.929,-3.929
"4",1,4,50,50,2,2,0,0.25,10,-3.929,-3.929
"5",1,5,50,50,2,11,0,0.25,10,-3.929,-3.929
"6",1,6,50,50,1,1,0,0.25,10,-3.929,-3.929
"7",1,7,50,50,0,2,0,0.25,10,-3.929,-3.929
"8",1,8,50,50,0,1,0,0.25,10,-3.929,-3.929
"9",1,9,50,50,0,0,1,0.25,10,-3.929,-3.929
"10",1,10,50,50,3,5,0,0.25,10,-3.929,-3.929
"11",2,1,50,50,2,1,0,0.25,10,-3.929,-3.929
"12",2,2,50,50,1,3,0,0.25,10,-3.929,-3.929
"13",2,3,50,50,0,0,1,0.25,10,-3.929,-3.929
"14",2,4,50,50,0,0,1,0.25,10,-3.929,-3.929
"15",2,5,50,50,4,3,0,0.25,10,-3.929,-3.929
"16",2,6,50,50,0,0,1,0.25,10,-3.929,-3.929
"17",2,7,50,50,3,4,0,0.25,10,-3.929,-3.929
"18",2,8,50,50,0,4,0,0.25,10,-3.929,-3.929
"19",2,9,50,50,1,0,0,0.25,10,-3.929,-3.929
"20",2,10,50,50,2,1,0,0.25,10,-3.929,-3.929
"21",3,1,50,50,0,0,0,0.25,10,-3.929,-3.929
"22",3,2,50,50,0,0,0,0.25,10,-3.929,-3.929
"23",3,3,50,50,2,2,0,0.25,10,-3.929,-3.929
"24",3,4,50,50,0,0,1,0.25,10,-3.929,-3.929
"25",3,5,50,50,3,2,0,0.25,10,-3.929,-3.929
"26",3,6,50,50,2,1,0,0.25,10,-3.929,-3.929
"27",3,7,50,50,3,1,0,0.25,10,-3.929,-3.929
"28",3,8,50,50,0,0,1,0.25,10,-3.929,-3.929
"29",3,9,50,50,2,3,0,0.25,10,-3.929,-3.929
"30",3,10,50,50,1,1,0,0.25,10,-3.929,-3.929
"31",4,1,50,50,0,0,1,0.25,10,-3.929,-3.929
"32",4,2,50,50,2,1,0,0.25,10,-3.929,-3.929
"33",4,3,50,50,0,0,1,0.25,10,-3.929,-3.929
"34",4,4,50,50,0,0,1,0.25,10,-3.929,-3.929
