metaanalysisid,Descr,Value
1,-2 Log Likelihood,224.9
1,AIC (smaller is better),234.9
1,AICC (smaller is better),249.9
1,BIC (smaller is better),236.4
2,-2 Log Likelihood,208.6
2,AIC (smaller is better),218.6
2,AICC (smaller is better),233.6
2,BIC (smaller is better),220.1
3,-2 Log Likelihood,308.7
3,AIC (smaller is better),318.7
3,AICC (smaller is better),333.7
3,BIC (smaller is better),320.2
4,-2 Log Likelihood,217.4
4,AIC (smaller is better),227.4
4,AICC (smaller is better),242.4
4,BIC (smaller is better),228.9
5,-2 Log Likelihood,214.2
5,AIC (smaller is better),224.2
5,AICC (smaller is better),239.2
5,BIC (smaller is better),225.7
6,-2 Log Likelihood,184.2
6,AIC (smaller is better),194.2
6,AICC (smaller is better),209.2
6,BIC (smaller is better),195.7
7,-2 Log Likelihood,261.8
7,AIC (smaller is better),271.8
7,AICC (smaller is better),286.8
7,BIC (smaller is better),273.3
8,-2 Log Likelihood,212.8
8,AIC (smaller is better),222.8
8,AICC (smaller is better),237.8
8,BIC (smaller is better),224.3
9,-2 Log Likelihood,120.2
9,AIC (smaller is better),130.2
9,AICC (smaller is better),145.2
9,BIC (smaller is better),131.7
11,-2 Log Likelihood,192.9
11,AIC (smaller is better),202.9
11,AICC (smaller is better),217.9
11,BIC (smaller is better),204.4
12,-2 Log Likelihood,172.2
12,AIC (smaller is better),182.2
12,AICC (smaller is better),197.2
12,BIC (smaller is better),183.7
13,-2 Log Likelihood,211.5
13,AIC (smaller is better),221.5
13,AICC (smaller is better),236.5
13,BIC (smaller is better),223.0
14,-2 Log Likelihood,297.7
14,AIC (smaller is better),307.7
14,AICC (smaller is better),322.7
14,BIC (smaller is better),309.2
15,-2 Log Likelihood,313.0
15,AIC (smaller is better),323.0
15,AICC (smaller is better),338.0
15,BIC (smaller is better),324.5
16,-2 Log Likelihood,134.6
16,AIC (smaller is better),144.6
16,AICC (smaller is better),159.6
16,BIC (smaller is better),146.1
17,-2 Log Likelihood,124.4
17,AIC (smaller is better),134.4
17,AICC (smaller is better),149.4
17,BIC (smaller is better),136.0
18,-2 Log Likelihood,187.3
18,AIC (smaller is better),197.3
18,AICC (smaller is better),212.3
18,BIC (smaller is better),198.8
19,-2 Log Likelihood,216.3
19,AIC (smaller is better),226.3
19,AICC (smaller is better),241.3
19,BIC (smaller is better),227.8
20,-2 Log Likelihood,279.2
20,AIC (smaller is better),289.2
20,AICC (smaller is better),304.2
20,BIC (smaller is better),290.7
21,-2 Log Likelihood,216.4
21,AIC (smaller is better),226.4
