metaanalysisid,Label,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper
1,logRR,0.2364,0.3654,1000,0.65,0.5178,0.05,-0.4806,0.9534
1,RR,1.2666,0.4628,1000,2.74,0.0063,0.05,0.3585,2.1748
2,logRR,0.6535,0.4071,1000,1.61,0.1087,0.05,-0.1452,1.4523
2,RR,1.9223,0.7825,1000,2.46,0.0142,0.05,0.3868,3.4578
3,logRR,-0.3451,0.3430,1000,-1.01,0.3146,0.05,-1.0181,0.3279
3,RR,0.7082,0.2429,1000,2.92,0.0036,0.05,0.2316,1.1848
4,logRR,-0.3813,,1000,,,0.05,,
4,RR,0.6829,,1000,,,0.05,,
5,logRR,0.5244,0.5097,1000,1.03,0.3038,0.05,-0.4758,1.5247
5,RR,1.6895,0.8612,1000,1.96,0.0501,0.05,-0.00048,3.3795
6,logRR,-0.4533,0.5935,1000,-0.76,0.4451,0.05,-1.6180,0.7113
6,RR,0.6355,0.3772,1000,1.68,0.0923,0.05,-0.1046,1.3756
7,logRR,-0.00015,0.3368,1000,-0.00,0.9996,0.05,-0.6611,0.6608
7,RR,0.9998,0.3368,1000,2.97,0.0031,0.05,0.3390,1.6607
8,logRR,0.2768,0.4451,1000,0.62,0.5341,0.05,-0.5966,1.1502
8,RR,1.3190,0.5870,1000,2.25,0.0249,0.05,0.1670,2.4709
9,logRR,-0.2969,0.6310,1000,-0.47,0.6381,0.05,-1.5352,0.9413
9,RR,0.7431,0.4689,1000,1.58,0.1133,0.05,-0.1770,1.6633
11,logRR,-0.5819,0.3386,1000,-1.72,0.0860,0.05,-1.2464,0.08259
11,RR,0.5588,0.1892,1000,2.95,0.0032,0.05,0.1875,0.9302
12,logRR,0.03275,0.4842,1000,0.07,0.9461,0.05,-0.9174,0.9829
12,RR,1.0333,0.5003,1000,2.07,0.0391,0.05,0.05153,2.0151
13,logRR,0.05250,0.6587,1000,0.08,0.9365,0.05,-1.2401,1.3451
13,RR,1.0539,0.6942,1000,1.52,0.1293,0.05,-0.3084,2.4162
14,logRR,0.2492,0.3928,1000,0.63,0.5261,0.05,-0.5217,1.0200
14,RR,1.2829,0.5040,1000,2.55,0.0111,0.05,0.2939,2.2720
15,logRR,0.1527,0.4630,1000,0.33,0.7415,0.05,-0.7557,1.0612
15,RR,1.1650,0.5394,1000,2.16,0.0310,0.05,0.1066,2.2234
16,logRR,-0.3558,0.8860,1000,-0.40,0.6881,0.05,-2.0944,1.3829
16,RR,0.7006,0.6208,1000,1.13,0.2593,0.05,-0.5175,1.9188
17,logRR,0.8597,0.8455,1000,1.02,0.3095,0.05,-0.7994,2.5188
17,RR,2.3625,1.9974,1000,1.18,0.2372,0.05,-1.5571,6.2820
18,logRR,-0.1176,0.4735,1000,-0.25,0.8039,0.05,-1.0467,0.8115
18,RR,0.8890,0.4209,1000,2.11,0.0349,0.05,0.06306,1.7150
19,logRR,0.1393,0.4894,1000,0.28,0.7759,0.05,-0.8210,1.0996
19,RR,1.1495,0.5625,1000,2.04,0.0413,0.05,0.04565,2.2533
20,logRR,-0.4085,0.3700,1000,-1.10,0.2699,0.05,-1.1345,0.3176
20,RR,0.6647,0.2459,1000,2.70,0.0070,0.05,0.1821,1.1472
21,logRR,0.006884,0.4323,1000,0.02,0.9873,0.05,-0.8415,0.8553
21,RR,1.0069,0.4353,1000,2.31,0.0209,0.05,0.1526,1.8612
22,logRR,0.4284,0.4249,1000,1.01,0.3136,0.05,-0.4055,1.2622
22,RR,1.5347,0.6521,1000,2.35,0.0188,0.05,0.2550,2.8144
23,logRR,-0.1812,0.5152,1000,-0.35,0.7251,0.05,-1.1922,0.8298
23,RR,0.8343,0.4298,1000,1.94,0.0525,0.05,-0.00917,1.6777
24,logRR,-0.09738,0.4518,1000,-0.22,0.8294,0.05,-0.9840,0.7892
24,RR,0.9072,0.4099,1000,2.21,0.0271,0.05,0.1029,1.7115
25,logRR,-0.1666,0.4764,1000,-0.35,0.7266,0.05,-1.1015,0.7682
25,RR,0.8465,0.4033,1000,2.10,0.0361,0.05,0.05514,1.6379
26,logRR,0.002066,0.4596,1000,0.00,0.9964,0.05,-0.8999,0.9040
26,RR,1.0021,0.4606,1000,2.18,0.0298,0.05,0.09824,1.9059
27,logRR,-0.2226,0.4418,1000,-0.50,0.6145,0.05,-1.0895,0.6443
27,RR,0.8005,0.3536,1000,2.26,0.0238,0.05,0.1066,1.4943
28,logRR,0.1660,0.5602,1000,0.30,0.7671,0.05,-0.9333,1.2652
28,RR,1.1805,0.6613,1000,1.79,0.0745,0.05,-0.1172,2.4783
29,logRR,-0.3586,0.5538,1000,-0.65,0.5174,0.05,-1.4452,0.7281
29,RR,0.6987,0.3869,1000,1.81,0.0712,0.05,-0.06054,1.4579
30,logRR,-0.1493,0.4573,1000,-0.33,0.7442,0.05,-1.0466,0.7481
30,RR,0.8613,0.3939,1000,2.19,0.0290,0.05,0.08841,1.6343
31,logRR,0.07451,,1000,,,0.05,,
31,RR,1.0774,,1000,,,0.05,,
33,logRR,0.6286,0.4332,1000,1.45,0.1471,0.05,-0.2215,1.4787
33,RR,1.8750,0.8123,1000,2.31,0.0212,0.05,0.2811,3.4689
34,logRR,0.3078,0.2852,1000,1.08,0.2807,0.05,-0.2518,0.8674
34,RR,1.3604,0.3879,1000,3.51,0.0005,0.05,0.5992,2.1217
35,logRR,0.3924,0.4309,1000,0.91,0.3627,0.05,-0.4531,1.2379
35,RR,1.4805,0.6379,1000,2.32,0.0205,0.05,0.2288,2.7322
36,logRR,0.4635,0.5073,1000,0.91,0.3611,0.05,-0.5320,1.4589
36,RR,1.5896,0.8063,1000,1.97,0.0490,0.05,0.007257,3.1719
37,logRR,0.04978,0.4969,1000,0.10,0.9202,0.05,-0.9253,1.0249
37,RR,1.0510,0.5223,1000,2.01,0.0444,0.05,0.02618,2.0759
38,logRR,-0.3655,0.8016,1000,-0.46,0.6486,0.05,-1.9385,1.2076
38,RR,0.6939,0.5562,1000,1.25,0.2125,0.05,-0.3976,1.7854
39,logRR,0.09368,,1000,,,0.05,,
39,RR,1.0982,,1000,,,0.05,,
40,logRR,0.5738,0.4947,1000,1.16,0.2463,0.05,-0.3969,1.5446
40,RR,1.7750,0.8781,1000,2.02,0.0435,0.05,0.05194,3.4981
41,logRR,0.7169,0.6187,1000,1.16,0.2468,0.05,-0.4971,1.9310
41,RR,2.0482,1.2672,1000,1.62,0.1063,0.05,-0.4384,4.5348
42,logRR,0.08909,0.3809,1000,0.23,0.8151,0.05,-0.6583,0.8365
42,RR,1.0932,0.4163,1000,2.63,0.0088,0.05,0.2762,1.9102
43,logRR,0.05274,0.5262,1000,0.10,0.9202,0.05,-0.9798,1.0853
43,RR,1.0542,0.5547,1000,1.90,0.0577,0.05,-0.03429,2.1426
44,logRR,0.2273,0.4955,1000,0.46,0.6466,0.05,-0.7451,1.1996
44,RR,1.2552,0.6219,1000,2.02,0.0438,0.05,0.03474,2.4756
45,logRR,-0.3920,0.4816,1000,-0.81,0.4158,0.05,-1.3371,0.5530
45,RR,0.6757,0.3254,1000,2.08,0.0381,0.05,0.03712,1.3142
46,logRR,-0.4699,,1000,,,0.05,,
46,RR,0.6251,,1000,,,0.05,,
47,logRR,0.4853,,1000,,,0.05,,
47,RR,1.6247,,1000,,,0.05,,
48,logRR,-0.2021,0.4953,1000,-0.41,0.6834,0.05,-1.1740,0.7699
48,RR,0.8171,0.4047,1000,2.02,0.0438,0.05,0.02291,1.6112
50,logRR,0.2323,0.4432,1000,0.52,0.6003,0.05,-0.6375,1.1021
50,RR,1.2615,0.5591,1000,2.26,0.0243,0.05,0.1643,2.3587
51,logRR,-0.2405,0.3726,1000,-0.65,0.5188,0.05,-0.9716,0.4906
51,RR,0.7862,0.2929,1000,2.68,0.0074,0.05,0.2114,1.3611
52,logRR,0.2463,0.3905,1000,0.63,0.5284,0.05,-0.5200,1.0125
52,RR,1.2792,0.4995,1000,2.56,0.0106,0.05,0.2990,2.2594
53,logRR,0.3582,0.6577,1000,0.54,0.5862,0.05,-0.9325,1.6489
53,RR,1.4307,0.9410,1000,1.52,0.1287,0.05,-0.4159,3.2774
54,logRR,-0.3258,0.4450,1000,-0.73,0.4643,0.05,-1.1990,0.5474
54,RR,0.7220,0.3213,1000,2.25,0.0248,0.05,0.09154,1.3524
55,logRR,-0.1685,,1000,,,0.05,,
55,RR,0.8449,,1000,,,0.05,,
56,logRR,-0.1900,0.4636,1000,-0.41,0.6820,0.05,-1.0997,0.7197
56,RR,0.8269,0.3834,1000,2.16,0.0312,0.05,0.07466,1.5792
