"","estimates","estimate_lower","estimate_upper","pi_estimates","pi_lower","pi_upper","p_value","DIC_array","DIC_true_array"
"2.5%",1.21670801113086,0.367359188912151,1.80805935200601,0.493968110595975,0.491359233601036,0.495415788244054,0.273789899702663,210.883514614059,70.9043615476747
"2.5%",0.938648801899437,0.451514991405675,2.37920576535362,0.386281451923208,0.384137071690585,0.387674906451966,0.660283277522881,215.641216924633,66.0164603674591
"2.5%",0.735613594924312,0.523840089013424,3.59290446571364,0.589498690593203,0.587694073169555,0.591101726655187,0.0246137521576184,140.94523186632,53.2456782812588
"2.5%",0.611659602043777,0.610876069308268,4.17890384158022,0.698548377152696,0.696973661039981,0.699893706492946,2.35537976225331e-05,157.293517221344,51.2703376647277
"2.5%",0.599039328083473,0.499291668556051,5.49007413383334,0.687053110264494,0.684831066275656,0.688403325284636,0.00114689885758956,90.649877498143,39.5871237642806
"2.5%",1.11930829743006,0.241735533779025,3.13138868817004,0.679167934581176,0.677379111237529,0.681312546718916,0.724782975958963,70.7512953284144,33.0577650498879
"2.5%",0.706467881632253,0.567882387189417,3.50150748322042,0.485662148687229,0.484306787282453,0.487933954415471,0.00399152512483525,162.402932073172,48.0572631203778
"2.5%",0.728826793727473,0.49824057589176,3.72228555844085,0.589560037927543,0.587853241194066,0.591117431958066,0.0219258739357198,135.485716737348,44.6551257952885
"2.5%",1.25535882904487,0.252875724954443,2.22895815396581,0.693530952033723,0.691608625455118,0.694897626181901,0.44843451715829,107.735247199234,41.228963080365
"2.5%",0.625442928645668,0.763155296816797,3.20723246276585,0.599667684361884,0.598158144325141,0.601243615775604,2.16998430335735e-08,267.996036354365,87.9538874879956
"2.5%",0.609328373021729,0.870183420692325,3.10880897846276,0.398710664989734,0.397185085973705,0.40027598921757,1.49480428035531e-12,341.4782909948,92.1634647205576
"2.5%",1.03339188255298,0.325311276299377,2.54766450283605,0.581813777658737,0.580431797744311,0.584090527898512,0.888427422010094,115.2650077481,39.8779471910466
"2.5%",0.896782515957807,0.404484065525299,2.73103096731035,0.465811867325257,0.460227904733911,0.467815370071318,0.534781933908364,128.461588083761,47.5293500822287
"2.5%",1.72053950104883,0.200200434624448,1.6526852139216,0.196669375809188,0.194681536462294,0.200579125045622,0.118945914164475,128.683846077366,45.4727395094569
"2.5%",1.06673152031983,0.343673325722598,2.95910403540376,0.572653172803401,0.570933376614962,0.574754540282004,0.763038610194036,97.2452526514269,37.5062841160864
"2.5%",1.26471013644292,0.316035916084756,1.85197035463089,0.489976306054476,0.488564598531603,0.492028507696306,0.246762308625103,181.053056670777,62.8145929003553
"2.5%",0.45588637931474,0.825346704057162,5.06447132959346,0.596883259587169,0.595431750891396,0.598480198936769,0,196.195812611005,77.5880903816137
"2.5%",0.663761234213917,0.488325399341987,4.81047568966114,0.56603155044889,0.563654027540674,0.567702433262817,0.00561476297551611,95.1736030110157,41.8319807107766
"2.5%",1.23312313963779,0.3376950837152,2.19535014384882,0.357999901515579,0.353568500017386,0.359447789009884,0.339409782393279,151.018622791084,50.0421772936254
"2.5%",0.804649520159936,0.436138693273127,3.66207798439308,0.323008377584182,0.319855204436029,0.324597220462733,0.181216816773451,123.602867451829,48.2158068947754
"2.5%",1.09837359530145,0.288357771508998,2.69680527266384,0.692184542930821,0.690808150844291,0.693765174931919,0.723242389192046,101.125455342968,38.7376488928244
"2.5%",1.49775984201153,0.260109516598363,1.73550650910374,0.356779722268619,0.353994156631709,0.358253252277172,0.140538165734246,153.16057789924,55.0381804375608
"2.5%",0.548383411950885,0.563484083234583,6.4172782451629,0.679033192225802,0.677458439130406,0.681662995788416,1.25251463147791e-05,74.8619976353997,37.1684673568732
"2.5%",0.642369680250759,0.503810904077102,5.3005420636561,0.69197103743777,0.689726342116051,0.693311589188733,0.00367426829655226,104.15365208172,40.3391458558206
"2.5%",0.758010446278235,0.409236831470324,4.47980278265909,0.797872207195495,0.796615911543355,0.799208326155867,0.191270456506548,87.5278391005515,32.9640786612637
"2.5%",1.03318857439495,0.201085384937064,3.96068523117064,0.898231841232196,0.896709412686871,0.899038810822312,0.940691667399643,30.6934187372192,15.0453267155066
"2.5%",0.675280988584782,0.498370785062031,4.1036911830387,0.586966853112082,0.58555995779555,0.588928865991328,0.00578072093694049,133.183106663243,52.1355009990312
"2.5%",1.54505826093322,0.248303145263512,1.50591937603789,0.48691988678908,0.484506045795505,0.488716408757061,0.107604867848876,170.490037296118,52.6010701440014
"2.5%",1.10805640857795,0.370465069252943,2.16617868962535,0.48822131090072,0.486796624219438,0.49024013296237,0.575980999461484,171.158756584506,49.8412104114768
"2.5%",1.79120817385298,0.157167628406555,1.80278221318454,0.68350240417703,0.681302028955771,0.684906459251137,0.235698686346453,74.5840737281838,30.4931972145559
"2.5%",1.16582847083053,0.319908771252847,2.37015198157389,0.585191772804871,0.583412007573726,0.587002398317192,0.480755450871687,122.711997058371,44.633158608348
"2.5%",0.920614854562423,0.424329700308345,2.70845831383524,0.475141403925531,0.471043229190683,0.477588330683761,0.621631190032133,144.204806775913,56.1853238914665
"2.5%",0.959549800587502,0.34018851209841,3.09957112979713,0.690264581813704,0.688665995813518,0.69175271538602,0.85624702985494,95.0002253213048,37.5401253523411
"2.5%",0.741656130714799,0.594423698634506,2.97077728381333,0.266344947509346,0.264853983445599,0.269839963352467,0.00843721548130349,200.278967596559,57.7681519573377
"2.5%",0.861329510216605,0.317759235607988,5.14916366560994,0.899698722840943,0.898798953300822,0.900733756545477,0.551618963039651,54.982562077912,20.9946001415171
"2.5%",0.791054202697788,0.606028967500706,2.91520699703044,0.390393318550442,0.387971916785496,0.391766850215442,0.0314823882470558,241.003647750255,80.7037589680818
"2.5%",0.854046366024224,0.412455733303656,3.31320626014997,0.694397607380854,0.692100682591281,0.695713092384093,0.373349033920386,116.550232016219,44.1788411534851
"2.5%",1.83924920755546,0.168980614345548,1.5872120691491,0.695141626104055,0.693818359596964,0.696595372966821,0.147661117837995,113.067512667754,40.1638823137842
"2.5%",0.665982726578338,0.558439361790573,4.12719559907997,0.69823138575019,0.696577595011024,0.6996069335481,0.000849904920193101,151.043442559815,47.6261609398361
