metaanalysisid,Descr,Value
1,-2 Log Likelihood,224.0
1,AIC (smaller is better),236.0
1,AICC (smaller is better),264.0
1,BIC (smaller is better),237.8
2,-2 Log Likelihood,208.6
2,AIC (smaller is better),220.6
2,AICC (smaller is better),248.6
2,BIC (smaller is better),222.4
3,-2 Log Likelihood,309.0
3,AIC (smaller is better),321.0
3,AICC (smaller is better),349.0
3,BIC (smaller is better),322.8
4,-2 Log Likelihood,217.4
4,AIC (smaller is better),229.4
4,AICC (smaller is better),257.4
4,BIC (smaller is better),231.3
5,-2 Log Likelihood,214.0
5,AIC (smaller is better),226.0
5,AICC (smaller is better),254.0
5,BIC (smaller is better),227.8
6,-2 Log Likelihood,182.9
6,AIC (smaller is better),194.9
6,AICC (smaller is better),222.9
6,BIC (smaller is better),196.7
8,-2 Log Likelihood,210.1
8,AIC (smaller is better),222.1
8,AICC (smaller is better),250.1
8,BIC (smaller is better),223.9
9,-2 Log Likelihood,118.1
9,AIC (smaller is better),130.1
9,AICC (smaller is better),158.1
9,BIC (smaller is better),131.9
10,-2 Log Likelihood,180.3
10,AIC (smaller is better),192.3
10,AICC (smaller is better),220.3
10,BIC (smaller is better),194.2
11,-2 Log Likelihood,232E75
11,AIC (smaller is better),232E75
11,AICC (smaller is better),232E75
11,BIC (smaller is better),232E75
12,-2 Log Likelihood,170.7
12,AIC (smaller is better),182.7
12,AICC (smaller is better),210.7
12,BIC (smaller is better),184.5
13,-2 Log Likelihood,207.1
13,AIC (smaller is better),219.1
13,AICC (smaller is better),247.1
13,BIC (smaller is better),220.9
14,-2 Log Likelihood,297.5
14,AIC (smaller is better),309.5
14,AICC (smaller is better),337.5
14,BIC (smaller is better),311.3
15,-2 Log Likelihood,312.5
15,AIC (smaller is better),324.5
15,AICC (smaller is better),352.5
15,BIC (smaller is better),326.3
16,-2 Log Likelihood,134.3
16,AIC (smaller is better),146.3
16,AICC (smaller is better),174.3
16,BIC (smaller is better),148.1
17,-2 Log Likelihood,122.8
17,AIC (smaller is better),134.8
17,AICC (smaller is better),162.8
17,BIC (smaller is better),136.6
18,-2 Log Likelihood,153.1
18,AIC (smaller is better),165.1
18,AICC (smaller is better),193.1
18,BIC (smaller is better),166.9
19,-2 Log Likelihood,215.9
19,AIC (smaller is better),227.9
19,AICC (smaller is better),255.9
19,BIC (smaller is better),229.7
20,-2 Log Likelihood,279.2
20,AIC (smaller is better),291.2
20,AICC (smaller is better),319.2
20,BIC (smaller is better),293.0
21,-2 Log Likelihood,213.2
21,AIC (smaller is better),225.2
21,AICC (smaller is better),253.2
21,BIC (smaller is better),227.0
22,-2 Log Likelihood,240.9
22,AIC (smaller is better),252.9
22,AICC (smaller is better),280.9
22,BIC (smaller is better),254.7
23,-2 Log Likelihood,163.0
23,AIC (smaller is better),175.0
23,AICC (smaller is better),203.0
23,BIC (smaller is better),176.9
24,-2 Log Likelihood,180.3
24,AIC (smaller is better),192.3
24,AICC (smaller is better),220.3
24,BIC (smaller is better),194.1
25,-2 Log Likelihood,167.3
25,AIC (smaller is better),179.3
25,AICC (smaller is better),207.3
25,BIC (smaller is better),181.1
26,-2 Log Likelihood,181.3
26,AIC (smaller is better),193.3
26,AICC (smaller is better),221.3
26,BIC (smaller is better),195.2
27,-2 Log Likelihood,195.0
27,AIC (smaller is better),207.0
27,AICC (smaller is better),235.0
27,BIC (smaller is better),208.8
28,-2 Log Likelihood,113.6
28,AIC (smaller is better),125.6
28,AICC (smaller is better),153.6
28,BIC (smaller is better),127.4
29,-2 Log Likelihood,125.6
29,AIC (smaller is better),137.6
29,AICC (smaller is better),165.6
29,BIC (smaller is better),139.4
30,-2 Log Likelihood,174.3
30,AIC (smaller is better),186.3
30,AICC (smaller is better),214.3
30,BIC (smaller is better),188.1
31,-2 Log Likelihood,288.5
31,AIC (smaller is better),300.5
31,AICC (smaller is better),328.5
31,BIC (smaller is better),302.3
32,-2 Log Likelihood,118.1
32,AIC (smaller is better),130.1
32,AICC (smaller is better),158.1
32,BIC (smaller is better),131.9
33,-2 Log Likelihood,216.8
33,AIC (smaller is better),228.8
33,AICC (smaller is better),256.8
33,BIC (smaller is better),230.6
34,-2 Log Likelihood,334.7
34,AIC (smaller is better),346.7
34,AICC (smaller is better),374.7
34,BIC (smaller is better),348.5
37,-2 Log Likelihood,170.6
37,AIC (smaller is better),182.6
37,AICC (smaller is better),210.6
37,BIC (smaller is better),184.4
38,-2 Log Likelihood,81.9
38,AIC (smaller is better),93.9
38,AICC (smaller is better),121.9
38,BIC (smaller is better),95.7
39,-2 Log Likelihood,155.4
39,AIC (smaller is better),167.4
39,AICC (smaller is better),195.4
39,BIC (smaller is better),169.2
40,-2 Log Likelihood,165.3
40,AIC (smaller is better),177.3
40,AICC (smaller is better),205.3
40,BIC (smaller is better),179.1
41,-2 Log Likelihood,142.7
41,AIC (smaller is better),154.7
41,AICC (smaller is better),182.7
41,BIC (smaller is better),156.5
42,-2 Log Likelihood,230.4
42,AIC (smaller is better),242.4
42,AICC (smaller is better),270.4
42,BIC (smaller is better),244.2
43,-2 Log Likelihood,140.9
43,AIC (smaller is better),152.9
43,AICC (smaller is better),180.9
43,BIC (smaller is better),154.7
44,-2 Log Likelihood,213.0
44,AIC (smaller is better),225.0
44,AICC (smaller is better),253.0
44,BIC (smaller is better),226.8
45,-2 Log Likelihood,145.6
45,AIC (smaller is better),157.6
45,AICC (smaller is better),185.6
45,BIC (smaller is better),159.5
46,-2 Log Likelihood,278.6
46,AIC (smaller is better),290.6
46,AICC (smaller is better),318.6
46,BIC (smaller is better),292.4
48,-2 Log Likelihood,257.7
48,AIC (smaller is better),269.7
48,AICC (smaller is better),297.7
48,BIC (smaller is better),271.6
50,-2 Log Likelihood,244.2
50,AIC (smaller is better),256.2
50,AICC (smaller is better),284.2
50,BIC (smaller is better),258.0
51,-2 Log Likelihood,231.9
51,AIC (smaller is better),243.9
51,AICC (smaller is better),271.9
51,BIC (smaller is better),245.7
52,-2 Log Likelihood,210.1
52,AIC (smaller is better),222.1
52,AICC (smaller is better),250.1
52,BIC (smaller is better),223.9
53,-2 Log Likelihood,143.1
53,AIC (smaller is better),155.1
53,AICC (smaller is better),183.1
53,BIC (smaller is better),156.9
54,-2 Log Likelihood,202.3
54,AIC (smaller is better),214.3
54,AICC (smaller is better),242.3
54,BIC (smaller is better),216.1
55,-2 Log Likelihood,212.5
55,AIC (smaller is better),224.5
55,AICC (smaller is better),252.5
55,BIC (smaller is better),226.3
56,-2 Log Likelihood,147.6
56,AIC (smaller is better),159.6
56,AICC (smaller is better),187.6
56,BIC (smaller is better),161.5
57,-2 Log Likelihood,175.5
57,AIC (smaller is better),187.5
57,AICC (smaller is better),215.5
57,BIC (smaller is better),189.3
58,-2 Log Likelihood,239.0
58,AIC (smaller is better),251.0
58,AICC (smaller is better),279.0
58,BIC (smaller is better),252.8
59,-2 Log Likelihood,218.4
59,AIC (smaller is better),230.4
59,AICC (smaller is better),258.4
59,BIC (smaller is better),232.3
60,-2 Log Likelihood,258.2
60,AIC (smaller is better),270.2
60,AICC (smaller is better),298.2
60,BIC (smaller is better),272.0
61,-2 Log Likelihood,98.4
61,AIC (smaller is better),110.4
61,AICC (smaller is better),138.4
61,BIC (smaller is better),112.2
62,-2 Log Likelihood,173.6
62,AIC (smaller is better),185.6
62,AICC (smaller is better),213.6
62,BIC (smaller is better),187.5
63,-2 Log Likelihood,159.0
63,AIC (smaller is better),171.0
63,AICC (smaller is better),199.0
63,BIC (smaller is better),172.8
64,-2 Log Likelihood,208.7
64,AIC (smaller is better),220.7
64,AICC (smaller is better),248.7
64,BIC (smaller is better),222.5
65,-2 Log Likelihood,187.6
65,AIC (smaller is better),199.6
65,AICC (smaller is better),227.6
65,BIC (smaller is better),201.4
66,-2 Log Likelihood,111.2
66,AIC (smaller is better),123.2
66,AICC (smaller is better),151.2
66,BIC (smaller is better),125.0
67,-2 Log Likelihood,137.0
67,AIC (smaller is better),149.0
67,AICC (smaller is better),177.0
67,BIC (smaller is better),150.8
68,-2 Log Likelihood,177.4
68,AIC (smaller is better),189.4
68,AICC (smaller is better),217.4
68,BIC (smaller is better),191.2
69,-2 Log Likelihood,180.1
69,AIC (smaller is better),192.1
69,AICC (smaller is better),220.1
69,BIC (smaller is better),194.0
71,-2 Log Likelihood,199.9
71,AIC (smaller is better),211.9
71,AICC (smaller is better),239.9
71,BIC (smaller is better),213.7
72,-2 Log Likelihood,224.2
72,AIC (smaller is better),236.2
72,AICC (smaller is better),264.2
72,BIC (smaller is better),238.0
73,-2 Log Likelihood,173.0
73,AIC (smaller is better),185.0
73,AICC (smaller is better),213.0
73,BIC (smaller is better),186.9
74,-2 Log Likelihood,218.2
74,AIC (smaller is better),230.2
74,AICC (smaller is better),258.2
74,BIC (smaller is better),232.0
75,-2 Log Likelihood,196.1
75,AIC (smaller is better),208.1
75,AICC (smaller is better),236.1
75,BIC (smaller is better),209.9
76,-2 Log Likelihood,329.0
76,AIC (smaller is better),341.0
76,AICC (smaller is better),369.0
76,BIC (smaller is better),342.8
77,-2 Log Likelihood,279.3
77,AIC (smaller is better),291.3
77,AICC (smaller is better),319.3
77,BIC (smaller is better),293.1
78,-2 Log Likelihood,152.9
78,AIC (smaller is better),164.9
78,AICC (smaller is better),192.9
78,BIC (smaller is better),166.7
79,-2 Log Likelihood,179.9
79,AIC (smaller is better),191.9
79,AICC (smaller is better),219.9
79,BIC (smaller is better),193.7
80,-2 Log Likelihood,228.0
80,AIC (smaller is better),240.0
80,AICC (smaller is better),268.0
80,BIC (smaller is better),241.8
81,-2 Log Likelihood,69.3
81,AIC (smaller is better),81.3
81,AICC (smaller is better),109.3
81,BIC (smaller is better),83.1
82,-2 Log Likelihood,184.9
82,AIC (smaller is better),196.9
82,AICC (smaller is better),224.9
82,BIC (smaller is better),198.7
83,-2 Log Likelihood,215.3
83,AIC (smaller is better),227.3
83,AICC (smaller is better),255.3
83,BIC (smaller is better),229.1
84,-2 Log Likelihood,282.2
84,AIC (smaller is better),294.2
84,AICC (smaller is better),322.2
84,BIC (smaller is better),296.0
85,-2 Log Likelihood,229.8
85,AIC (smaller is better),241.8
85,AICC (smaller is better),269.8
85,BIC (smaller is better),243.6
86,-2 Log Likelihood,162.0
86,AIC (smaller is better),174.0
86,AICC (smaller is better),202.0
86,BIC (smaller is better),175.8
87,-2 Log Likelihood,87.9
87,AIC (smaller is better),99.9
87,AICC (smaller is better),127.9
87,BIC (smaller is better),101.8
88,-2 Log Likelihood,192.8
88,AIC (smaller is better),204.8
88,AICC (smaller is better),232.8
88,BIC (smaller is better),206.6
89,-2 Log Likelihood,171.7
89,AIC (smaller is better),183.7
89,AICC (smaller is better),211.7
89,BIC (smaller is better),185.5
90,-2 Log Likelihood,180.2
90,AIC (smaller is better),192.2
90,AICC (smaller is better),220.2
90,BIC (smaller is better),194.0
91,-2 Log Likelihood,186.4
91,AIC (smaller is better),198.4
91,AICC (smaller is better),226.4
91,BIC (smaller is better),200.2
92,-2 Log Likelihood,173.6
92,AIC (smaller is better),185.6
