metaanalysisid,Label,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper
1,Zero-Inflation Proportion pi,0.1978,0.1754,1000,1.13,0.2597,0.05,-0.1464,0.5419
1,logRR,0.2398,0.3794,1000,0.63,0.5275,0.05,-0.5047,0.9842
1,RR,1.2710,0.4822,1000,2.64,0.0085,0.05,0.3248,2.2171
2,Zero-Inflation Proportion pi,1.703E-6,0.000124,1000,0.01,0.9891,0.05,-0.00024,0.000246
2,logRR,0.6536,0.4059,1000,1.61,0.1077,0.05,-0.1429,1.4500
2,RR,1.9224,0.7803,1000,2.46,0.0139,0.05,0.3912,3.4535
3,Zero-Inflation Proportion pi,1.014E-7,0.000062,1000,0.00,0.9987,0.05,-0.00012,0.000122
3,logRR,-0.3365,0.3326,1000,-1.01,0.3120,0.05,-0.9892,0.3163
3,RR,0.7143,0.2376,1000,3.01,0.0027,0.05,0.2480,1.1805
4,Zero-Inflation Proportion pi,0.001805,,1000,,,0.05,,
4,logRR,-0.3823,,1000,,,0.05,,
4,RR,0.6823,,1000,,,0.05,,
5,Zero-Inflation Proportion pi,0.08734,0.6266,1000,0.14,0.8892,0.05,-1.1423,1.3169
5,logRR,0.5035,0.6506,1000,0.77,0.4391,0.05,-0.7732,1.7802
5,RR,1.6545,1.0764,1000,1.54,0.1246,0.05,-0.4578,3.7669
6,Zero-Inflation Proportion pi,0.3253,0.2014,1000,1.61,0.1067,0.05,-0.07001,0.7205
6,logRR,-0.4153,0.6255,1000,-0.66,0.5069,0.05,-1.6428,0.8122
6,RR,0.6601,0.4129,1000,1.60,0.1102,0.05,-0.1502,1.4704
8,Zero-Inflation Proportion pi,0.3471,0.1611,1000,2.15,0.0314,0.05,0.03098,0.6632
8,logRR,0.2341,0.4852,1000,0.48,0.6295,0.05,-0.7179,1.1862
8,RR,1.2638,0.6132,1000,2.06,0.0395,0.05,0.06061,2.4670
