"V1","estimates","estimate_lower","estimate_upper","pi_estimates","pi_lower","pi_upper","p_value","DIC_array","DIC_true_array","ID"
"2.5%",0.97148977814318,0.765571005573956,1.40572785426036,0.280418538582416,0.279430235111839,0.281426291088787,0.359537523405461,2328.05938972679,381.949763095687,1
"2.5%",0.960919922399425,0.747495373967677,1.41426527033357,0.280891550420079,0.280102530093157,0.282342787212624,0.212358379848038,2327.97962193491,381.869995303804,2
"2.5%",2.59728016499993,0.213132715138533,0.698767363052326,0.267069983748647,0.264683088837983,0.268185166460985,0.00047058237862041,1197.23997204311,220.066094767312,3
"2.5%",0.794272705311962,0.650777712522124,2.57834668332707,0.190571325771651,0.189302826936112,0.195713132879091,0.00455066938314452,309.318936950552,77.0270496804602,4
"2.5%",1.89221384204071,0.40150603829421,0.717364088834734,0.0851505916513376,0.0846221604807838,0.0859921744295681,0,1286.3203027676,388.646446877958,1001
"2.5%",1.11085380796123,0.707485660694497,1.14768166332301,0.147690555958012,0.14678668596186,0.150626467930289,1.24187511962859e-06,3544.66930015265,439.709689280905,1002
"2.5%",1.11085380796123,0.707485660694497,1.14768166332301,0.147690555958012,0.14678668596186,0.150626467930289,1.24187511962859e-06,3544.66930015265,439.709689280905,1003
"2.5%",1.23138456929644,0.522446925120126,1.28135246948854,0.189630217827398,0.188633616327962,0.194440261707377,0.00111474703214487,635.578809540245,171.866222907597,1004
"2.5%",1.07198482651305,0.650479209436686,1.34697997134864,0.235214073341019,0.233832915662312,0.236695911537061,0.0402020715807851,819.30477714785,267.796377226078,1005
"2.5%",1.13903643864609,0.644111359161315,1.18089136721951,0.19166205390507,0.190474522075537,0.194928021003041,2.50416042790746e-06,1281.01861636531,361.684011935354,1006
"2.5%",1.26261209974484,0.533184667687676,1.15699572440256,0.200600029961287,0.19940527690373,0.203214985848758,8.21526384875426e-06,808.355127489883,241.033181826004,1007
"2.5%",0.951858470972744,0.527059122728219,2.18737590944943,0.238021316386511,0.234857564310096,0.239678016189,0.657828189536544,240.549285837489,73.39996570618,1008
"2.5%",1.11085380796123,0.707485660694497,1.14768166332301,0.147690555958012,0.14678668596186,0.150626467930289,1.24187511962859e-06,3544.66930015265,439.709689280905,1009
"2.5%",1.11961614855307,0.688693002712892,1.16172082534686,0.155281755794416,0.15404517614111,0.160035992327377,1.52554572219188e-05,3427.83541531825,403.093587379589,1010
"2.5%",1.16171140982558,0.6303112955335,1.19095983736348,0.23632363574318,0.235590501836885,0.238473722100912,5.25297335718378e-06,965.828498658856,296.406830568381,1011
"2.5%",1.11795368120402,0.694267938942867,1.15877999120949,0.141038406265365,0.139560391185362,0.146034238811979,1.58116661408414e-06,3506.66173124237,433.417243791477,1012
"2.5%",1.09807555850838,0.559909433337603,1.51822720945794,0.190313049564033,0.189407833853627,0.192345558321071,0.224236863308589,609.709404108194,111.148586924819,101
"2.5%",1.10510354652452,0.557097479234828,1.42720687265424,0.20555324315776,0.204617111380831,0.207674878749636,0.191293361126675,659.901542227562,170.498420449656,102
"2.5%",1.11500577451169,0.643187634453122,1.30934866015115,0.236171767954842,0.234776533355347,0.237152149175896,0.0369174565757984,1016.49233125429,209.851876640017,103
"2.5%",1.03739991847572,0.655602135188394,1.41887536405601,0.24138765004884,0.240377993242895,0.242961486905824,0.522130728447569,969.124011928145,203.486515367668,104
"2.5%",1.535531177678,0.520347650476656,0.828222536590036,0.171619661568734,0.170994498114248,0.173684832702161,0,3797.21369382653,551.528849156217,1013
"2.5%",0.707523503389544,1.13112581506157,1.76674068161891,0.183608717993964,0.183003924102359,0.185735387028097,0,4043.38353647882,734.464448805999,1014
"2.5%",1.18479439814097,0.607367353360502,1.16222404860223,0.207211771267821,0.205775669568972,0.212880678814978,7.13059430834662e-07,1042.67997808996,340.254726076936,1015
"2.5%",1.14867258167968,0.611926714010972,1.23525210228477,0.182871285276411,0.182137457135871,0.185219291456895,0.00128369416862295,1034.009376442,219.755281891664,1016
"2.5%",1.09547908448839,0.716801641344199,1.18959325225861,0.218935818208133,0.217724963570407,0.219668467210062,0.000136723272477601,1462.27580082343,423.117843870384,1017
"2.5%",1.13317691691715,0.738564014784308,1.06159049469236,0.188091548993364,0.187633442868702,0.188814508943284,0,2566.75115340015,813.274746981269,1018
"2.5%",1.19495737665134,0.632407077209225,1.12868733220561,0.126279516888396,0.125504251932825,0.12944111895774,1.65008240848863e-07,1297.33309822388,312.828858015535,1019
"2.5%",1.00028450175072,0.690761853504815,1.42902824068334,0.3070671346957,0.305794360186551,0.308495036025407,0.995709104368067,544.119127735562,282.383891433878,1020
"2.5%",1.11915879708644,0.750833381317511,1.0521322686741,0.156225192247847,0.155494715934427,0.156696472576613,2.88657986402541e-15,5948.40840434628,947.453691544943,1021
"2.5%",1.12450877527111,0.746815452226977,1.06239195354695,0.202567953455735,0.201851265791934,0.203227810045399,5.16653386739563e-12,5790.14135430958,901.273539149796,1022
