metaanalysisid,Descr,Value
59,-2 Log Likelihood,2133.5
59,AIC (smaller is better),2143.5
59,AICC (smaller is better),2146.6
59,BIC (smaller is better),2149.6
161,-2 Log Likelihood,2133.5
161,AIC (smaller is better),2143.5
161,AICC (smaller is better),2146.6
161,BIC (smaller is better),2149.6
727,-2 Log Likelihood,1056.5
727,AIC (smaller is better),1066.5
727,AICC (smaller is better),1081.5
727,BIC (smaller is better),1068.0
728,-2 Log Likelihood,298.1
728,AIC (smaller is better),308.1
728,AICC (smaller is better),316.7
728,BIC (smaller is better),310.9
733,-2 Log Likelihood,375.1
733,AIC (smaller is better),385.1
733,AICC (smaller is better),397.1
733,BIC (smaller is better),387.1
752,-2 Log Likelihood,935.7
752,AIC (smaller is better),945.7
752,AICC (smaller is better),951.1
752,BIC (smaller is better),949.8
755,-2 Log Likelihood,936.8
755,AIC (smaller is better),946.8
755,AICC (smaller is better),951.8
755,BIC (smaller is better),951.2
770,-2 Log Likelihood,297.3
770,AIC (smaller is better),307.3
770,AICC (smaller is better),322.3
770,BIC (smaller is better),308.9
836,-2 Log Likelihood,862.2
836,AIC (smaller is better),872.2
836,AICC (smaller is better),877.6
836,BIC (smaller is better),876.3
866,-2 Log Likelihood,623.0
866,AIC (smaller is better),633.0
866,AICC (smaller is better),641.6
866,BIC (smaller is better),635.9
869,-2 Log Likelihood,920.9
869,AIC (smaller is better),930.9
869,AICC (smaller is better),936.4
869,BIC (smaller is better),935.1
1417,-2 Log Likelihood,739.4
1417,AIC (smaller is better),749.4
1417,AICC (smaller is better),759.4
1417,BIC (smaller is better),751.9
1576,-2 Log Likelihood,780.7
1576,AIC (smaller is better),790.7
1576,AICC (smaller is better),795.4
1576,BIC (smaller is better),795.5
1603,-2 Log Likelihood,1666.5
1603,AIC (smaller is better),1676.5
1603,AICC (smaller is better),1678.8
1603,BIC (smaller is better),1683.8
1696,-2 Log Likelihood,1216.8
1696,AIC (smaller is better),1226.8
1696,AICC (smaller is better),1230.8
1696,BIC (smaller is better),1232.0
1702,-2 Log Likelihood,2240.3
1702,AIC (smaller is better),2250.3
1702,AICC (smaller is better),2254.9
1702,BIC (smaller is better),2255.0
1864,-2 Log Likelihood,694.0
1864,AIC (smaller is better),704.0
1864,AICC (smaller is better),711.5
1864,BIC (smaller is better),707.1
1887,-2 Log Likelihood,232E75
1887,AIC (smaller is better),232E75
1887,AICC (smaller is better),232E75
1887,BIC (smaller is better),232E75
1892,-2 Log Likelihood,2512.0
1892,AIC (smaller is better),2522.0
1892,AICC (smaller is better),2530.6
1892,BIC (smaller is better),2524.9
1974,-2 Log Likelihood,1330.4
1974,AIC (smaller is better),1340.4
1974,AICC (smaller is better),1352.4
1974,BIC (smaller is better),1342.4
2007,-2 Log Likelihood,1059.0
2007,AIC (smaller is better),1069.0
2007,AICC (smaller is better),1081.0
2007,BIC (smaller is better),1071.0
2090,-2 Log Likelihood,423.2
2090,AIC (smaller is better),433.2
2090,AICC (smaller is better),439.2
2090,BIC (smaller is better),437.1
2256,-2 Log Likelihood,326.2
2256,AIC (smaller is better),336.2
2256,AICC (smaller is better),341.6
2256,BIC (smaller is better),340.4
2262,-2 Log Likelihood,343.8
2262,AIC (smaller is better),353.8
2262,AICC (smaller is better),358.4
2262,BIC (smaller is better),358.5
2279,-2 Log Likelihood,702.9
2279,AIC (smaller is better),712.9
2279,AICC (smaller is better),727.9
2279,BIC (smaller is better),714.4
2292,-2 Log Likelihood,221.3
2292,AIC (smaller is better),231.3
2292,AICC (smaller is better),241.3
2292,BIC (smaller is better),233.7
2328,-2 Log Likelihood,266.1
2328,AIC (smaller is better),276.1
2328,AICC (smaller is better),282.8
2328,BIC (smaller is better),279.6
2342,-2 Log Likelihood,6580.7
2342,AIC (smaller is better),6590.7
2342,AICC (smaller is better),6600.7
2342,BIC (smaller is better),6593.2
2343,-2 Log Likelihood,345.6
2343,AIC (smaller is better),355.6
2343,AICC (smaller is better),359.9
2343,BIC (smaller is better),360.6
2370,-2 Log Likelihood,221.3
2370,AIC (smaller is better),231.3
2370,AICC (smaller is better),241.3
2370,BIC (smaller is better),233.7
2467,-2 Log Likelihood,1229.7
2467,AIC (smaller is better),1239.7
2467,AICC (smaller is better),1248.3
2467,BIC (smaller is better),1242.6
2470,-2 Log Likelihood,1115.6
2470,AIC (smaller is better),1125.6
2470,AICC (smaller is better),1134.2
2470,BIC (smaller is better),1128.5
2479,-2 Log Likelihood,1229.7
2479,AIC (smaller is better),1239.7
2479,AICC (smaller is better),1248.3
2479,BIC (smaller is better),1242.6
3023,-2 Log Likelihood,727.1
3023,AIC (smaller is better),737.1
3023,AICC (smaller is better),747.1
3023,BIC (smaller is better),739.6
3217,-2 Log Likelihood,11731
3217,AIC (smaller is better),11741
3217,AICC (smaller is better),11748
3217,BIC (smaller is better),11744
3223,-2 Log Likelihood,2467.3
3223,AIC (smaller is better),2477.3
3223,AICC (smaller is better),2485.8
3223,BIC (smaller is better),2480.1
3596,-2 Log Likelihood,2344.5
3596,AIC (smaller is better),2354.5
3596,AICC (smaller is better),2357.4
3596,BIC (smaller is better),2361.0
3614,-2 Log Likelihood,301.2
3614,AIC (smaller is better),311.2
3614,AICC (smaller is better),316.2
3614,BIC (smaller is better),315.6
3809,-2 Log Likelihood,415.3
3809,AIC (smaller is better),425.3
3809,AICC (smaller is better),440.3
3809,BIC (smaller is better),426.8
3959,-2 Log Likelihood,446.6
3959,AIC (smaller is better),456.6
3959,AICC (smaller is better),466.6
3959,BIC (smaller is better),459.0
4004,-2 Log Likelihood,2242.4
4004,AIC (smaller is better),2252.4
4004,AICC (smaller is better),2255.2
4004,BIC (smaller is better),2259.1
4151,-2 Log Likelihood,337.9
4151,AIC (smaller is better),347.9
4151,AICC (smaller is better),353.4
4151,BIC (smaller is better),352.1
4154,-2 Log Likelihood,327.7
4154,AIC (smaller is better),337.7
4154,AICC (smaller is better),343.7
4154,BIC (smaller is better),341.5
4586,-2 Log Likelihood,2496.7
4586,AIC (smaller is better),2506.7
4586,AICC (smaller is better),2510.5
4586,BIC (smaller is better),2512.2
4994,-2 Log Likelihood,737.1
4994,AIC (smaller is better),747.1
4994,AICC (smaller is better),752.1
4994,BIC (smaller is better),751.5
5654,-2 Log Likelihood,697.9
5654,AIC (smaller is better),707.9
5654,AICC (smaller is better),719.9
5654,BIC (smaller is better),709.9
5805,-2 Log Likelihood,557.1
5805,AIC (smaller is better),567.1
5805,AICC (smaller is better),577.1
5805,BIC (smaller is better),569.5
5823,-2 Log Likelihood,1040.4
5823,AIC (smaller is better),1050.4
5823,AICC (smaller is better),1060.4
5823,BIC (smaller is better),1052.8
6094,-2 Log Likelihood,455.9
6094,AIC (smaller is better),465.9
6094,AICC (smaller is better),480.9
6094,BIC (smaller is better),467.4
6265,-2 Log Likelihood,238.2
6265,AIC (smaller is better),248.2
6265,AICC (smaller is better),255.7
6265,BIC (smaller is better),251.4
6517,-2 Log Likelihood,413.4
6517,AIC (smaller is better),423.4
6517,AICC (smaller is better),427.1
6517,BIC (smaller is better),428.8
6592,-2 Log Likelihood,311.5
6592,AIC (smaller is better),321.5
6592,AICC (smaller is better),328.2
6592,BIC (smaller is better),325.0
6640,-2 Log Likelihood,271.3
6640,AIC (smaller is better),281.3
6640,AICC (smaller is better),286.3
6640,BIC (smaller is better),285.8
6660,-2 Log Likelihood,511.0
6660,AIC (smaller is better),521.0
6660,AICC (smaller is better),524.0
6660,BIC (smaller is better),527.3
6694,-2 Log Likelihood,325.8
6694,AIC (smaller is better),335.8
6694,AICC (smaller is better),345.8
6694,BIC (smaller is better),338.3
6868,-2 Log Likelihood,592.2
6868,AIC (smaller is better),602.2
6868,AICC (smaller is better),612.2
6868,BIC (smaller is better),604.7
6889,-2 Log Likelihood,1062.9
6889,AIC (smaller is better),1072.9
6889,AICC (smaller is better),1082.9
6889,BIC (smaller is better),1075.3
6892,-2 Log Likelihood,632.5
6892,AIC (smaller is better),642.5
6892,AICC (smaller is better),652.5
6892,BIC (smaller is better),645.0
6916,-2 Log Likelihood,1203.2
6916,AIC (smaller is better),1213.2
6916,AICC (smaller is better),1225.2
6916,BIC (smaller is better),1215.2
6955,-2 Log Likelihood,3357.9
6955,AIC (smaller is better),3367.9
6955,AICC (smaller is better),3369.6
6955,BIC (smaller is better),3376.6
6979,-2 Log Likelihood,1863.6
6979,AIC (smaller is better),1873.6
6979,AICC (smaller is better),1879.6
6979,BIC (smaller is better),1877.5
6981,-2 Log Likelihood,1423.1
6981,AIC (smaller is better),1433.1
6981,AICC (smaller is better),1435.9
6981,BIC (smaller is better),1439.5
6985,-2 Log Likelihood,730.6
6985,AIC (smaller is better),740.6
6985,AICC (smaller is better),745.2
6985,BIC (smaller is better),745.3
6988,-2 Log Likelihood,2167.1
6988,AIC (smaller is better),2177.1
6988,AICC (smaller is better),2183.1
6988,BIC (smaller is better),2181.0
6991,-2 Log Likelihood,1326.2
6991,AIC (smaller is better),1336.2
6991,AICC (smaller is better),1340.8
6991,BIC (smaller is better),1340.9
6994,-2 Log Likelihood,707.1
6994,AIC (smaller is better),717.1
6994,AICC (smaller is better),723.1
6994,BIC (smaller is better),720.9
7000,-2 Log Likelihood,2921.7
7000,AIC (smaller is better),2931.7
7000,AICC (smaller is better),2936.7
7000,BIC (smaller is better),2936.1
7003,-2 Log Likelihood,1239.9
7003,AIC (smaller is better),1249.9
7003,AICC (smaller is better),1258.5
7003,BIC (smaller is better),1252.8
7123,-2 Log Likelihood,1528.7
7123,AIC (smaller is better),1538.7
7123,AICC (smaller is better),1546.2
7123,BIC (smaller is better),1541.9
7144,-2 Log Likelihood,3821.0
7144,AIC (smaller is better),3831.0
7144,AICC (smaller is better),3839.5
7144,BIC (smaller is better),3833.8
7351,-2 Log Likelihood,1245.5
7351,AIC (smaller is better),1255.5
7351,AICC (smaller is better),1257.3
7351,BIC (smaller is better),1263.7
7360,-2 Log Likelihood,851.0
7360,AIC (smaller is better),861.0
7360,AICC (smaller is better),862.7
7360,BIC (smaller is better),869.6
7384,-2 Log Likelihood,232E75
7384,AIC (smaller is better),232E75
7384,AICC (smaller is better),232E75
7384,BIC (smaller is better),232E75
7387,-2 Log Likelihood,1228.2
7387,AIC (smaller is better),1238.2
7387,AICC (smaller is better),1241.6
7387,BIC (smaller is better),1244.1
7399,-2 Log Likelihood,736.6
7399,AIC (smaller is better),746.6
7399,AICC (smaller is better),754.1
7399,BIC (smaller is better),749.8
7405,-2 Log Likelihood,550.4
7405,AIC (smaller is better),560.4
7405,AICC (smaller is better),565.4
7405,BIC (smaller is better),564.8
7636,-2 Log Likelihood,1299.4
7636,AIC (smaller is better),1309.4
7636,AICC (smaller is better),1313.1
7636,BIC (smaller is better),1314.9
7864,-2 Log Likelihood,1391.4
7864,AIC (smaller is better),1401.4
7864,AICC (smaller is better),1413.4
7864,BIC (smaller is better),1403.4
7868,-2 Log Likelihood,677.2
7868,AIC (smaller is better),687.2
7868,AICC (smaller is better),702.2
7868,BIC (smaller is better),688.7
7872,-2 Log Likelihood,2850.9
7872,AIC (smaller is better),2860.9
7872,AICC (smaller is better),2872.9
7872,BIC (smaller is better),2862.9
7953,-2 Log Likelihood,656.3
7953,AIC (smaller is better),666.3
7953,AICC (smaller is better),681.3
7953,BIC (smaller is better),667.8
8124,-2 Log Likelihood,263.0
8124,AIC (smaller is better),273.0
8124,AICC (smaller is better),285.0
8124,BIC (smaller is better),275.0
8126,-2 Log Likelihood,1603.7
8126,AIC (smaller is better),1613.7
8126,AICC (smaller is better),1619.7
8126,BIC (smaller is better),1617.6
8202,-2 Log Likelihood,401.1
8202,AIC (smaller is better),411.1
8202,AICC (smaller is better),419.7
8202,BIC (smaller is better),413.9
8933,-2 Log Likelihood,1506.7
8933,AIC (smaller is better),1516.7
8933,AICC (smaller is better),1522.2
8933,BIC (smaller is better),1520.9
9112,-2 Log Likelihood,1104.5
9112,AIC (smaller is better),1114.5
9112,AICC (smaller is better),1129.5
9112,BIC (smaller is better),1116.0
9114,-2 Log Likelihood,721.9
9114,AIC (smaller is better),731.9
9114,AICC (smaller is better),746.9
9114,BIC (smaller is better),733.4
9130,-2 Log Likelihood,1773.8
9130,AIC (smaller is better),1783.8
9130,AICC (smaller is better),1795.8
9130,BIC (smaller is better),1785.7
9650,-2 Log Likelihood,3690.5
9650,AIC (smaller is better),3700.5
9650,AICC (smaller is better),3703.3
9650,BIC (smaller is better),3706.9
9656,-2 Log Likelihood,1951.3
9656,AIC (smaller is better),1961.3
9656,AICC (smaller is better),1973.3
9656,BIC (smaller is better),1963.3
9668,-2 Log Likelihood,2396.9
9668,AIC (smaller is better),2406.9
9668,AICC (smaller is better),2412.3
9668,BIC (smaller is better),2411.0
9670,-2 Log Likelihood,2323.1
9670,AIC (smaller is better),2333.1
9670,AICC (smaller is better),2337.7
9670,BIC (smaller is better),2337.8
9672,-2 Log Likelihood,2278.2
9672,AIC (smaller is better),2288.2
9672,AICC (smaller is better),2293.2
9672,BIC (smaller is better),2292.6
10112,-2 Log Likelihood,607.6
10112,AIC (smaller is better),617.6
10112,AICC (smaller is better),625.1
10112,BIC (smaller is better),620.8
10116,-2 Log Likelihood,306.9
10116,AIC (smaller is better),316.9
10116,AICC (smaller is better),331.9
10116,BIC (smaller is better),318.4
10118,-2 Log Likelihood,522.1
10118,AIC (smaller is better),532.1
10118,AICC (smaller is better),540.7
10118,BIC (smaller is better),535.0
10128,-2 Log Likelihood,979.3
10128,AIC (smaller is better),989.3
10128,AICC (smaller is better),996.0
10128,BIC (smaller is better),992.8
10132,-2 Log Likelihood,502.8
10132,AIC (smaller is better),512.8
10132,AICC (smaller is better),524.8
10132,BIC (smaller is better),514.8
10134,-2 Log Likelihood,855.4
10134,AIC (smaller is better),865.4
10134,AICC (smaller is better),872.9
10134,BIC (smaller is better),868.6
10146,-2 Log Likelihood,373.6
10146,AIC (smaller is better),383.6
10146,AICC (smaller is better),393.6
10146,BIC (smaller is better),386.1
10148,-2 Log Likelihood,592.4
10148,AIC (smaller is better),602.4
10148,AICC (smaller is better),609.9
10148,BIC (smaller is better),605.6
10168,-2 Log Likelihood,590.9
10168,AIC (smaller is better),600.9
10168,AICC (smaller is better),608.4
10168,BIC (smaller is better),604.1
10174,-2 Log Likelihood,943.7
10174,AIC (smaller is better),953.7
10174,AICC (smaller is better),960.4
10174,BIC (smaller is better),957.2
10180,-2 Log Likelihood,884.3
