metaanalysisid,Parameter,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper,Gradient
59,beta1,-4.2919,0,1000,I,<.0001,0.05,M,I,-1.81E81
59,sig1,0.002469,0,1000,I,<.0001,0.05,M,I,-9.54E81
59,beta2,-4.6844,0,1000,I,<.0001,0.05,M,I,0.049079
59,sig2,0.1991,0,1000,I,<.0001,0.05,M,I,-7.97E81
59,fz,6.5071,0,1000,I,<.0001,0.05,M,I,-0.00032
161,beta1,-4.2980,0.2654,1000,-16.19,<.0001,0.05,-4.8189,-3.7772,0.080361
161,sig1,0.006995,0.2167,1000,0.03,0.9743,0.05,-0.4183,0.4323,0.12573
161,beta2,-4.6902,0.3461,1000,-13.55,<.0001,0.05,-5.3692,-4.0111,-0.05352
161,sig2,0.2009,0.2273,1000,0.88,0.3770,0.05,-0.2452,0.6470,-0.14239
161,fz,6.1962,,1000,,,0.05,,,-0.00061
727,beta1,-7.0561,0,1000,I,<.0001,0.05,M,I,-0.00543
727,sig1,0.9639,0,1000,I,<.0001,0.05,M,I,-0.00688
727,beta2,-4.3283,,1000,,,0.05,,,-0.01217
727,sig2,0.1068,0,1000,I,<.0001,0.05,M,I,-0.01853
727,fz,5.8750,0,1000,I,<.0001,0.05,M,I,1.391E81
728,beta1,-3.4189,0.3180,1000,-10.75,<.0001,0.05,-4.0429,-2.7949,0.000214
728,sig1,-0.7146,0.6753,1000,-1.06,0.2902,0.05,-2.0399,0.6106,0.000075
728,beta2,-4.0646,0.5443,1000,-7.47,<.0001,0.05,-5.1327,-2.9966,-0.00007
728,sig2,-0.03579,0.5232,1000,-0.07,0.9455,0.05,-1.0625,0.9909,-0.00012
728,fz,3.3026,45.8073,1000,0.07,0.9425,0.05,-86.5868,93.1920,-6.21E-6
733,beta1,-7.0900,1.3139,1000,-5.40,<.0001,0.05,-9.6683,-4.5117,-0.02176
733,sig1,0.7853,0.4879,1000,1.61,0.1078,0.05,-0.1721,1.7426,-0.10210
733,beta2,-4.4819,0.5012,1000,-8.94,<.0001,0.05,-5.4655,-3.4984,0.039969
733,sig2,0.1928,0.3548,1000,0.54,0.5871,0.05,-0.5035,0.8890,0.082438
733,fz,5.8549,12.2068,1000,0.48,0.6316,0.05,-18.0990,29.8089,-0.00024
752,beta1,-3.7322,0,1000,I,<.0001,0.05,M,I,0.000140
752,sig1,-0.09313,,1000,,,0.05,,,0.002419
752,beta2,-3.4200,0,1000,I,<.0001,0.05,M,I,0.001343
752,sig2,-0.3255,0,1000,I,<.0001,0.05,M,I,-0.00075
752,fz,6.1358,0,1000,I,<.0001,0.05,M,I,-0.00012
755,beta1,-4.4754,0,1000,I,<.0001,0.05,M,I,-0.08931
755,sig1,0.3037,,1000,,,0.05,,,-7.33E81
755,beta2,-4.2962,,1000,,,0.05,,,-1.81E81
755,sig2,0.3256,0,1000,I,<.0001,0.05,M,I,7.213E81
755,fz,6.6873,,1000,,,0.05,,,-1.24E81
770,beta1,-4.4028,,1000,,,0.05,,,-1.77E81
770,sig1,0.2909,0,1000,I,<.0001,0.05,M,I,7.406E81
770,beta2,-7.8168,0,1000,I,<.0001,0.05,M,I,0
770,sig2,1.3737,,1000,,,0.05,,,4.028E81
770,fz,6.8245,0,1000,I,<.0001,0.05,M,I,0
836,beta1,-4.6107,0.4547,1000,-10.14,<.0001,0.05,-5.5030,-3.7185,0.001249
836,sig1,0.2561,0.2707,1000,0.95,0.3442,0.05,-0.2750,0.7873,-0.00004
836,beta2,-4.4371,0.4406,1000,-10.07,<.0001,0.05,-5.3017,-3.5725,0.000173
836,sig2,0.2541,0.2659,1000,0.96,0.3395,0.05,-0.2677,0.7760,0.000059
836,fz,6.0296,,1000,,,0.05,,,-0.00044
866,beta1,-4.3459,0,1000,I,<.0001,0.05,M,I,0
866,sig1,0.6465,,1000,,,0.05,,,5.807E81
866,beta2,-3.8805,,1000,,,0.05,,,0
866,sig2,0.3164,0,1000,I,<.0001,0.05,M,I,7.263E81
866,fz,6.8345,,1000,,,0.05,,,1.22E81
869,beta1,-4.3065,0.4297,1000,-10.02,<.0001,0.05,-5.1497,-3.4633,-0.00004
869,sig1,0.2437,0.2675,1000,0.91,0.3625,0.05,-0.2813,0.7688,0.001409
869,beta2,-4.2432,0.4555,1000,-9.32,<.0001,0.05,-5.1369,-3.3494,-0.00018
869,sig2,0.3291,0.2637,1000,1.25,0.2123,0.05,-0.1883,0.8466,0.002607
869,fz,5.7225,,1000,,,0.05,,,-0.00074
1417,beta1,-1.9847,0.3175,1000,-6.25,<.0001,0.05,-2.6078,-1.3617,0.000788
1417,sig1,-0.1007,0.3123,1000,-0.32,0.7472,0.05,-0.7134,0.5120,-0.00016
1417,beta2,-1.9882,0.3392,1000,-5.86,<.0001,0.05,-2.6538,-1.3227,-0.00019
1417,sig2,-0.03464,0.3053,1000,-0.11,0.9097,0.05,-0.6337,0.5645,-5.87E-6
1417,fz,2.0083,1.4063,1000,1.43,0.1536,0.05,-0.7513,4.7679,-0.00019
1576,beta1,-2.8950,0.3847,1000,-7.53,<.0001,0.05,-3.6498,-2.1401,0.000171
1576,sig1,0.1613,0.3094,1000,0.52,0.6023,0.05,-0.4459,0.7684,6.491E-6
1576,beta2,-2.4672,0.4335,1000,-5.69,<.0001,0.05,-3.3178,-1.6165,-0.00044
1576,sig2,0.3927,0.2652,1000,1.48,0.1389,0.05,-0.1276,0.9131,-0.00016
1576,fz,1.7395,0.7334,1000,2.37,0.0179,0.05,0.3003,3.1788,-0.00003
1603,beta1,-2.2919,,1000,,,0.05,,,-0.10633
1603,sig1,0.01455,,1000,,,0.05,,,-0.07324
1603,beta2,-2.1942,0,1000,I,<.0001,0.05,M,I,-0.00467
1603,sig2,0.2981,0,1000,I,<.0001,0.05,M,I,0.11527
1603,fz,6.3448,0,1000,I,<.0001,0.05,M,I,-0.00046
1696,beta1,-2.0253,0.2851,1000,-7.10,<.0001,0.05,-2.5848,-1.4657,-0.00074
1696,sig1,0.07926,0.2469,1000,0.32,0.7483,0.05,-0.4053,0.5639,-0.00082
1696,beta2,-2.1132,0.4337,1000,-4.87,<.0001,0.05,-2.9642,-1.2621,0.000769
1696,sig2,0.5340,0.2330,1000,2.29,0.0221,0.05,0.07670,0.9913,0.001306
1696,fz,5.8729,14.1672,1000,0.41,0.6786,0.05,-21.9280,33.6738,-0.00109
1702,beta1,-1.8716,0.2953,1000,-6.34,<.0001,0.05,-2.4511,-1.2922,0.000124
1702,sig1,0.1507,0.2385,1000,0.63,0.5276,0.05,-0.3172,0.6186,0.002758
1702,beta2,-1.5437,0.3532,1000,-4.37,<.0001,0.05,-2.2367,-0.8507,-0.00156
1702,sig2,0.3509,0.2303,1000,1.52,0.1279,0.05,-0.1011,0.8028,0.001381
1702,fz,6.0893,16.1164,1000,0.38,0.7056,0.05,-25.5365,37.7151,-0.00201
1864,beta1,-4.2936,0.2972,1000,-14.44,<.0001,0.05,-4.8769,-3.7103,0.000623
1864,sig1,-0.2739,0.3712,1000,-0.74,0.4608,0.05,-1.0022,0.4545,0.000130
1864,beta2,-5.0535,0.3286,1000,-15.38,<.0001,0.05,-5.6984,-4.4087,-0.00024
1864,sig2,-0.5052,0.4159,1000,-1.21,0.2247,0.05,-1.3214,0.3109,0.000382
1864,fz,6.0229,,1000,,,0.05,,,-0.00007
1887,beta1,2.095E83,0,1000,I,<.0001,0.05,M,I,0
1887,sig1,4.346E83,0,1000,I,<.0001,0.05,M,I,0
1887,beta2,2.158E83,0,1000,I,<.0001,0.05,M,I,0
1887,sig2,3.916E83,0,1000,I,<.0001,0.05,M,I,0
1887,fz,1.019E83,0,1000,I,<.0001,0.05,M,I,0
1892,beta1,-2.6069,0.4809,1000,-5.42,<.0001,0.05,-3.5506,-1.6633,-0.00046
1892,sig1,0.4341,0.2687,1000,1.62,0.1065,0.05,-0.09314,0.9613,-0.00060
1892,beta2,-3.1750,0.5411,1000,-5.87,<.0001,0.05,-4.2368,-2.1131,-0.00045
1892,sig2,0.5158,0.2822,1000,1.83,0.0679,0.05,-0.03799,1.0696,0.000707
1892,fz,1.6870,0.4161,1000,4.05,<.0001,0.05,0.8704,2.5037,-0.00033
1974,beta1,-4.5217,0.5533,1000,-8.17,<.0001,0.05,-5.6076,-3.4359,-0.00083
1974,sig1,0.3892,0.3273,1000,1.19,0.2347,0.05,-0.2530,1.0314,-0.00097
