metaanalysisid,Label,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper
59,logRR,-0.1061,,1000,,,0.05,,
59,RR,0.8993,,1000,,,0.05,,
161,logRR,-0.1074,0.1275,1000,-0.84,0.3997,0.05,-0.3576,0.1428
161,RR,0.8982,0.1145,1000,7.84,<.0001,0.05,0.6734,1.1229
727,logRR,0.2126,,1000,,,0.05,,
727,RR,1.2368,,1000,,,0.05,,
728,logRR,-0.2416,0.3776,1000,-0.64,0.5224,0.05,-0.9825,0.4993
728,RR,0.7854,0.2965,1000,2.65,0.0082,0.05,0.2035,1.3672
733,logRR,0.6826,0.6200,1000,1.10,0.2712,0.05,-0.5341,1.8992
733,RR,1.9790,1.2270,1000,1.61,0.1071,0.05,-0.4287,4.3867
752,logRR,0.1364,,1000,,,0.05,,
752,RR,1.1462,,1000,,,0.05,,
755,logRR,0.1635,,1000,,,0.05,,
755,RR,1.1777,,1000,,,0.05,,
770,logRR,0.3560,,1000,,,0.05,,
770,RR,1.4276,,1000,,,0.05,,
836,logRR,0.1321,0.1557,1000,0.85,0.3964,0.05,-0.1734,0.4376
836,RR,1.1412,0.1777,1000,6.42,<.0001,0.05,0.7925,1.4898
866,logRR,-0.1227,,1000,,,0.05,,
866,RR,0.8845,,1000,,,0.05,,
869,logRR,0.1538,0.1482,1000,1.04,0.2997,0.05,-0.1371,0.4446
869,RR,1.1662,0.1729,1000,6.75,<.0001,0.05,0.8270,1.5055
1417,logRR,0.02008,0.1590,1000,0.13,0.8996,0.05,-0.2920,0.3321
1417,RR,1.0203,0.1623,1000,6.29,<.0001,0.05,0.7019,1.3387
1576,logRR,0.4650,0.1783,1000,2.61,0.0093,0.05,0.1150,0.8150
1576,RR,1.5920,0.2839,1000,5.61,<.0001,0.05,1.0348,2.1492
1603,logRR,0.2143,,1000,,,0.05,,
1603,RR,1.2390,,1000,,,0.05,,
1696,logRR,0.1801,0.1126,1000,1.60,0.1099,0.05,-0.04077,0.4010
1696,RR,1.1974,0.1348,1000,8.88,<.0001,0.05,0.9329,1.4619
1702,logRR,0.2868,0.07020,1000,4.09,<.0001,0.05,0.1490,0.4245
1702,RR,1.3321,0.09351,1000,14.25,<.0001,0.05,1.1486,1.5156
1864,logRR,-0.8320,0.3011,1000,-2.76,0.0058,0.05,-1.4228,-0.2411
1864,RR,0.4352,0.1310,1000,3.32,0.0009,0.05,0.1781,0.6923
1892,logRR,-0.2952,0.1739,1000,-1.70,0.0898,0.05,-0.6364,0.04597
1892,RR,0.7444,0.1294,1000,5.75,<.0001,0.05,0.4904,0.9983
1974,logRR,0.4067,0.2424,1000,1.68,0.0936,0.05,-0.06887,0.8823
1974,RR,1.5019,0.3640,1000,4.13,<.0001,0.05,0.7876,2.2161
2007,logRR,0.2785,0.2158,1000,1.29,0.1972,0.05,-0.1450,0.7019
2007,RR,1.3211,0.2851,1000,4.63,<.0001,0.05,0.7617,1.8805
2090,logRR,-0.5657,0.5571,1000,-1.02,0.3101,0.05,-1.6590,0.5276
2090,RR,0.5679,0.3164,1000,1.79,0.0730,0.05,-0.05299,1.1889
2256,logRR,-1.2549,0.5120,1000,-2.45,0.0144,0.05,-2.2597,-0.2502
2256,RR,0.2851,0.1460,1000,1.95,0.0511,0.05,-0.00135,0.5715
2262,logRR,-3.0352,0.7502,1000,-4.05,<.0001,0.05,-4.5074,-1.5630
2262,RR,0.04807,0.03606,1000,1.33,0.1829,0.05,-0.02270,0.1188
2279,logRR,0.4525,,1000,,,0.05,,
2279,RR,1.5722,,1000,,,0.05,,
2292,logRR,0.005356,0.4448,1000,0.01,0.9904,0.05,-0.8675,0.8782
2292,RR,1.0054,0.4472,1000,2.25,0.0248,0.05,0.1278,1.8829
2328,logRR,-1.5207,0.5944,1000,-2.56,0.0107,0.05,-2.6872,-0.3543
2328,RR,0.2186,0.1299,1000,1.68,0.0928,0.05,-0.03638,0.4735
2342,logRR,0.2526,0.1768,1000,1.43,0.1533,0.05,-0.09426,0.5995
2342,RR,1.2874,0.2276,1000,5.66,<.0001,0.05,0.8408,1.7340
2343,logRR,-2.9351,1.1340,1000,-2.59,0.0098,0.05,-5.1604,-0.7098
2343,RR,0.05313,0.06025,1000,0.88,0.3781,0.05,-0.06510,0.1714
2370,logRR,0.005354,0.4448,1000,0.01,0.9904,0.05,-0.8675,0.8782
2370,RR,1.0054,0.4472,1000,2.25,0.0248,0.05,0.1278,1.8829
2467,logRR,-0.08222,0.2327,1000,-0.35,0.7239,0.05,-0.5388,0.3744
2467,RR,0.9211,0.2143,1000,4.30,<.0001,0.05,0.5005,1.3417
2470,logRR,-0.3885,0.2161,1000,-1.80,0.0725,0.05,-0.8127,0.03559
2470,RR,0.6780,0.1466,1000,4.63,<.0001,0.05,0.3905,0.9656
2479,logRR,-0.08222,0.2327,1000,-0.35,0.7239,0.05,-0.5388,0.3744
2479,RR,0.9211,0.2143,1000,4.30,<.0001,0.05,0.5005,1.3417
3023,logRR,0.09278,0.1670,1000,0.56,0.5787,0.05,-0.2350,0.4206
3023,RR,1.0972,0.1833,1000,5.99,<.0001,0.05,0.7376,1.4569
3217,logRR,-0.09998,0.07851,1000,-1.27,0.2032,0.05,-0.2540,0.05409
3217,RR,0.9049,0.07104,1000,12.74,<.0001,0.05,0.7654,1.0443
3223,logRR,0.02058,0.1490,1000,0.14,0.8902,0.05,-0.2718,0.3130
3223,RR,1.0208,0.1521,1000,6.71,<.0001,0.05,0.7223,1.3193
3596,logRR,-1.5587,0.2288,1000,-6.81,<.0001,0.05,-2.0077,-1.1096
3596,RR,0.2104,0.04815,1000,4.37,<.0001,0.05,0.1159,0.3049
3614,logRR,-1.0657,1.7055,1000,-0.62,0.5322,0.05,-4.4125,2.2811
3614,RR,0.3445,0.5875,1000,0.59,0.5578,0.05,-0.8084,1.4974
3809,logRR,0.03983,0.2025,1000,0.20,0.8441,0.05,-0.3575,0.4372
3809,RR,1.0406,0.2107,1000,4.94,<.0001,0.05,0.6271,1.4542
3959,logRR,-0.1072,0.3028,1000,-0.35,0.7233,0.05,-0.7014,0.4869
3959,RR,0.8983,0.2720,1000,3.30,0.0010,0.05,0.3646,1.4321
4004,logRR,-0.1670,0.03950,1000,-4.23,<.0001,0.05,-0.2445,-0.08946
4004,RR,0.8462,0.03342,1000,25.32,<.0001,0.05,0.7806,0.9118
4151,logRR,-0.8204,0.3820,1000,-2.15,0.0320,0.05,-1.5701,-0.07070
4151,RR,0.4403,0.1682,1000,2.62,0.0090,0.05,0.1102,0.7703
4154,logRR,-0.7787,0.3761,1000,-2.07,0.0387,0.05,-1.5168,-0.04072
4154,RR,0.4590,0.1726,1000,2.66,0.0080,0.05,0.1202,0.7977
4586,logRR,-0.1338,0.06981,1000,-1.92,0.0556,0.05,-0.2708,0.003200
4586,RR,0.8748,0.06107,1000,14.33,<.0001,0.05,0.7549,0.9946
4994,logRR,0.3746,0.1677,1000,2.23,0.0258,0.05,0.04542,0.7037
4994,RR,1.4544,0.2439,1000,5.96,<.0001,0.05,0.9757,1.9331
