metaanalysisid,Descr,Value
59,-2 Log Likelihood,2133.5
59,AIC (smaller is better),2145.5
59,AICC (smaller is better),2150.2
59,BIC (smaller is better),2152.8
161,-2 Log Likelihood,2133.5
161,AIC (smaller is better),2145.5
161,AICC (smaller is better),2150.2
161,BIC (smaller is better),2152.8
727,-2 Log Likelihood,1051.7
727,AIC (smaller is better),1063.7
727,AICC (smaller is better),1091.7
727,BIC (smaller is better),1065.5
728,-2 Log Likelihood,295.9
728,AIC (smaller is better),307.9
728,AICC (smaller is better),321.9
728,BIC (smaller is better),311.3
733,-2 Log Likelihood,375.1
733,AIC (smaller is better),387.1
733,AICC (smaller is better),408.1
733,BIC (smaller is better),389.5
752,-2 Log Likelihood,930.5
752,AIC (smaller is better),942.5
752,AICC (smaller is better),950.9
752,BIC (smaller is better),947.5
755,-2 Log Likelihood,936.8
755,AIC (smaller is better),948.8
755,AICC (smaller is better),956.4
755,BIC (smaller is better),954.1
770,-2 Log Likelihood,281.8
770,AIC (smaller is better),293.8
770,AICC (smaller is better),321.8
770,BIC (smaller is better),295.6
836,-2 Log Likelihood,862.2
836,AIC (smaller is better),874.2
836,AICC (smaller is better),882.6
836,BIC (smaller is better),879.2
866,-2 Log Likelihood,621.1
866,AIC (smaller is better),633.1
866,AICC (smaller is better),647.1
866,BIC (smaller is better),636.5
869,-2 Log Likelihood,920.9
869,AIC (smaller is better),932.9
869,AICC (smaller is better),941.3
869,BIC (smaller is better),937.9
1417,-2 Log Likelihood,734.8
1417,AIC (smaller is better),746.8
1417,AICC (smaller is better),763.6
1417,BIC (smaller is better),749.7
1576,-2 Log Likelihood,772.2
1576,AIC (smaller is better),784.2
1576,AICC (smaller is better),791.2
1576,BIC (smaller is better),789.8
1603,-2 Log Likelihood,1663.4
1603,AIC (smaller is better),1675.4
1603,AICC (smaller is better),1678.7
1603,BIC (smaller is better),1684.1
1696,-2 Log Likelihood,1212.7
1696,AIC (smaller is better),1224.7
1696,AICC (smaller is better),1230.7
1696,BIC (smaller is better),1231.0
1702,-2 Log Likelihood,2232.2
1702,AIC (smaller is better),2244.2
1702,AICC (smaller is better),2251.2
1702,BIC (smaller is better),2249.8
1864,-2 Log Likelihood,694.0
1864,AIC (smaller is better),706.0
1864,AICC (smaller is better),718.0
1864,BIC (smaller is better),709.8
1892,-2 Log Likelihood,2504.4
1892,AIC (smaller is better),2516.4
1892,AICC (smaller is better),2530.4
1892,BIC (smaller is better),2519.8
1974,-2 Log Likelihood,1330.4
1974,AIC (smaller is better),1342.4
1974,AICC (smaller is better),1363.4
1974,BIC (smaller is better),1344.8
2007,-2 Log Likelihood,1059.0
2007,AIC (smaller is better),1071.0
2007,AICC (smaller is better),1092.0
2007,BIC (smaller is better),1073.4
2090,-2 Log Likelihood,421.1
2090,AIC (smaller is better),433.1
2090,AICC (smaller is better),442.4
2090,BIC (smaller is better),437.7
2256,-2 Log Likelihood,325.9
2256,AIC (smaller is better),337.9
2256,AICC (smaller is better),346.3
2256,BIC (smaller is better),342.9
2262,-2 Log Likelihood,343.8
2262,AIC (smaller is better),355.8
2262,AICC (smaller is better),362.8
2262,BIC (smaller is better),361.5
2279,-2 Log Likelihood,232E75
2279,AIC (smaller is better),232E75
