metaanalysisid,Parameter,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper,Gradient
59,logitpi,-6.8224,0,1000,I,<.0001,0.05,M,I,0.004152
59,beta1,-4.2979,0,1000,I,<.0001,0.05,M,I,0.13150
59,sig1,-0.00186,,1000,,,0.05,,,-0.41770
59,beta2,-4.7054,,1000,,,0.05,,,-0.19835
59,sig2,0.2020,,1000,,,0.05,,,0.25914
59,fz,6.6786,0,1000,I,<.0001,0.05,M,I,-0.00022
161,logitpi,-7.1981,0,1000,I,<.0001,0.05,M,I,0
161,beta1,-4.3044,0,1000,I,<.0001,0.05,M,I,0
161,sig1,-0.00371,0,1000,I,<.0001,0.05,M,I,0
161,beta2,-4.7017,0,1000,I,<.0001,0.05,M,I,0
161,sig2,0.1916,0,1000,I,<.0001,0.05,M,I,0
161,fz,6.8084,0,1000,I,<.0001,0.05,M,I,1.224E81
727,logitpi,-1.1190,,1000,,,0.05,,,0
727,beta1,-6.0353,0,1000,I,<.0001,0.05,M,I,-169.984
727,sig1,1.0016,0,1000,I,<.0001,0.05,M,I,472.863
727,beta2,-3.9551,0,1000,I,<.0001,0.05,M,I,-1994.95
727,sig2,0.1608,0,1000,I,<.0001,0.05,M,I,-8.24E81
727,fz,3.4783,0,1000,I,<.0001,0.05,M,I,1.57296
728,logitpi,-1.6631,1.1463,1000,-1.45,0.1471,0.05,-3.9125,0.5864,0.000099
728,beta1,-3.1335,0.2624,1000,-11.94,<.0001,0.05,-3.6484,-2.6185,0.000220
728,sig1,-1.7653,2.0446,1000,-0.86,0.3881,0.05,-5.7774,2.2469,-0.00007
728,beta2,-3.6751,0.4816,1000,-7.63,<.0001,0.05,-4.6202,-2.7301,-0.00006
728,sig2,-0.3648,0.6524,1000,-0.56,0.5762,0.05,-1.6451,0.9155,-0.00010
728,fz,5.3868,8.4396,1000,0.64,0.5234,0.05,-11.1744,21.9481,-0.00002
733,logitpi,-9.0058,,1000,,,0.05,,,0.000513
733,beta1,-7.1104,0,1000,I,<.0001,0.05,M,I,1.179E81
733,sig1,0.8007,0,1000,I,<.0001,0.05,M,I,5.31E81
733,beta2,-4.4822,0,1000,I,<.0001,0.05,M,I,-1.74E81
733,sig2,0.2004,0,1000,I,<.0001,0.05,M,I,7.965E81
733,fz,6.2668,0,1000,I,<.0001,0.05,M,I,1.316E81
752,logitpi,-1.3531,0.6766,1000,-2.00,0.0458,0.05,-2.6809,-0.02537,-0.00030
752,beta1,-3.2798,0.2680,1000,-12.24,<.0001,0.05,-3.8057,-2.7538,0.000201
752,sig1,-0.5902,0.5020,1000,-1.18,0.2400,0.05,-1.5753,0.3949,0.000292
752,beta2,-3.0250,0.2378,1000,-12.72,<.0001,0.05,-3.4918,-2.5583,-7.33E-6
752,sig2,-0.9744,0.8225,1000,-1.18,0.2364,0.05,-2.5884,0.6395,0.000144
752,fz,5.9803,11.5345,1000,0.52,0.6042,0.05,-16.6543,28.6150,-0.00005
