metaanalysisid,Label,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper
59,Zero-Inflation Proportion pi,0.001088,,1000,,,0.05,,
59,logRR,-0.3442,,1000,,,0.05,,
59,RR,0.7088,,1000,,,0.05,,
161,Zero-Inflation Proportion pi,0.000747,,1000,,,0.05,,
161,logRR,-0.3359,,1000,,,0.05,,
161,RR,0.7147,,1000,,,0.05,,
727,Zero-Inflation Proportion pi,0.2462,,1000,,,0.05,,
727,logRR,1.0259,,1000,,,0.05,,
727,RR,2.7897,,1000,,,0.05,,
728,Zero-Inflation Proportion pi,0.1594,0.1536,1000,1.04,0.2996,0.05,-0.1420,0.4607
728,logRR,-0.5211,0.4549,1000,-1.15,0.2523,0.05,-1.4139,0.3716
728,RR,0.5938,0.2702,1000,2.20,0.0282,0.05,0.06370,1.1240
733,Zero-Inflation Proportion pi,0.000123,,1000,,,0.05,,
733,logRR,1.5443,,1000,,,0.05,,
733,RR,4.6849,,1000,,,0.05,,
752,Zero-Inflation Proportion pi,0.2054,0.1104,1000,1.86,0.0632,0.05,-0.01132,0.4220
752,logRR,0.2306,0.2202,1000,1.05,0.2951,0.05,-0.2014,0.6627
752,RR,1.2594,0.2773,1000,4.54,<.0001,0.05,0.7153,1.8036
755,Zero-Inflation Proportion pi,0.000021,,1000,,,0.05,,
755,logRR,0.1314,,1000,,,0.05,,
755,RR,1.1404,,1000,,,0.05,,
770,Zero-Inflation Proportion pi,0.001431,,1000,,,0.05,,
770,logRR,-0.4826,0.5640,1000,-0.86,0.3924,0.05,-1.5893,0.6242
770,RR,0.6172,0.3481,1000,1.77,0.0765,0.05,-0.06588,1.3003
836,Zero-Inflation Proportion pi,0.000034,,1000,,,0.05,,
836,logRR,0.1346,0.3097,1000,0.43,0.6639,0.05,-0.4731,0.7423
836,RR,1.1441,0.3543,1000,3.23,0.0013,0.05,0.4489,1.8393
866,Zero-Inflation Proportion pi,0.01658,,1000,,,0.05,,
866,logRR,0.2403,,1000,,,0.05,,
866,RR,1.2717,,1000,,,0.05,,
869,Zero-Inflation Proportion pi,0.000089,0.01688,1000,0.01,0.9958,0.05,-0.03303,0.03320
869,logRR,0.04914,0.3541,1000,0.14,0.8896,0.05,-0.6457,0.7440
869,RR,1.0504,0.3719,1000,2.82,0.0048,0.05,0.3206,1.7802
1417,Zero-Inflation Proportion pi,0.1067,1.46E-6,1000,73128.2,<.0001,0.05,0.1067,0.1067
1417,logRR,0.02721,8.649E-6,1000,3145.79,<.0001,0.05,0.02719,0.02723
1417,RR,1.0276,8.888E-6,1000,115620,<.0001,0.05,1.0276,1.0276
1576,Zero-Inflation Proportion pi,0.1870,1.113E-6,1000,168084,<.0001,0.05,0.1870,0.1870
1576,logRR,0.2944,0.000012,1000,24757.1,<.0001,0.05,0.2944,0.2944
1576,RR,1.3423,0.000016,1000,84097.5,<.0001,0.05,1.3423,1.3423
1603,Zero-Inflation Proportion pi,0.1320,,1000,,,0.05,,
1603,logRR,0.1905,,1000,,,0.05,,
1603,RR,1.2098,,1000,,,0.05,,
1696,Zero-Inflation Proportion pi,0.1297,,1000,,,0.05,,
1696,logRR,-0.1401,,1000,,,0.05,,
1696,RR,0.8693,,1000,,,0.05,,
1702,Zero-Inflation Proportion pi,0.1547,0.08116,1000,1.91,0.0569,0.05,-0.00456,0.3140
1702,logRR,0.2845,0.07842,1000,3.63,0.0003,0.05,0.1306,0.4384
1702,RR,1.3291,0.1042,1000,12.75,<.0001,0.05,1.1246,1.5337
1864,Zero-Inflation Proportion pi,8.39E-6,,1000,,,0.05,,
1864,logRR,-0.6859,,1000,,,0.05,,
1864,RR,0.5036,,1000,,,0.05,,
1892,Zero-Inflation Proportion pi,0.2130,1.174E-6,1000,181465,<.0001,0.05,0.2130,0.2130
1892,logRR,-0.4577,0.000013,1000,-34960,<.0001,0.05,-0.4577,-0.4577
1892,RR,0.6327,8.284E-6,1000,76381.9,<.0001,0.05,0.6327,0.6328
1974,Zero-Inflation Proportion pi,0.000216,0.008214,1000,0.03,0.9790,0.05,-0.01590,0.01633
1974,logRR,0.2651,0.2603,1000,1.02,0.3088,0.05,-0.2458,0.7759
1974,RR,1.3035,0.3393,1000,3.84,0.0001,0.05,0.6376,1.9694
2007,Zero-Inflation Proportion pi,0.000019,0.002392,1000,0.01,0.9935,0.05,-0.00467,0.004713
2007,logRR,0.4327,0.2587,1000,1.67,0.0947,0.05,-0.07495,0.9403
2007,RR,1.5414,0.3987,1000,3.87,0.0001,0.05,0.7589,2.3238
2090,Zero-Inflation Proportion pi,0.2358,0.1562,1000,1.51,0.1315,0.05,-0.07072,0.5423
2090,logRR,-2.1981,1.0947,1000,-2.01,0.0449,0.05,-4.3463,-0.04980
2090,RR,0.1110,0.1215,1000,0.91,0.3612,0.05,-0.1275,0.3495
2256,Zero-Inflation Proportion pi,1.771E-9,1.6E-6,1000,0.00,0.9991,0.05,-3.14E-6,3.141E-6
2256,logRR,-1.5597,0.7397,1000,-2.11,0.0352,0.05,-3.0112,-0.1082
2256,RR,0.2102,0.1555,1000,1.35,0.1767,0.05,-0.09491,0.5153
2262,Zero-Inflation Proportion pi,0.000019,0.002294,1000,0.01,0.9935,0.05,-0.00448,0.004521
2262,logRR,-2.4626,0.7229,1000,-3.41,0.0007,0.05,-3.8813,-1.0439
2262,RR,0.08521,0.06160,1000,1.38,0.1669,0.05,-0.03567,0.2061
2292,Zero-Inflation Proportion pi,0.000896,,1000,,,0.05,,
2292,logRR,0.7692,,1000,,,0.05,,
2292,RR,2.1580,,1000,,,0.05,,
2328,Zero-Inflation Proportion pi,1.344E-7,,1000,,,0.05,,
2328,logRR,-1.7083,0.6333,1000,-2.70,0.0071,0.05,-2.9511,-0.4655
2328,RR,0.1812,0.1147,1000,1.58,0.1147,0.05,-0.04399,0.4063
2342,Zero-Inflation Proportion pi,0.000363,,1000,,,0.05,,
2342,logRR,0.4966,,1000,,,0.05,,
2342,RR,1.6431,,1000,,,0.05,,
2343,Zero-Inflation Proportion pi,6.6E-6,,1000,,,0.05,,
2343,logRR,-2.5353,0.9044,1000,-2.80,0.0052,0.05,-4.3099,-0.7606
2343,RR,0.07924,0.07166,1000,1.11,0.2691,0.05,-0.06138,0.2199
2370,Zero-Inflation Proportion pi,0.000667,,1000,,,0.05,,
2370,logRR,-0.04641,0.4603,1000,-0.10,0.9197,0.05,-0.9498,0.8569
2370,RR,0.9546,0.4395,1000,2.17,0.0301,0.05,0.09228,1.8170
2467,Zero-Inflation Proportion pi,0.3759,0.1364,1000,2.76,0.0060,0.05,0.1082,0.6436
2467,logRR,0.2963,0.2301,1000,1.29,0.1980,0.05,-0.1551,0.7478
2467,RR,1.3449,0.3094,1000,4.35,<.0001,0.05,0.7378,1.9520
2470,Zero-Inflation Proportion pi,0.1090,0.09712,1000,1.12,0.2622,0.05,-0.08163,0.2995
2470,logRR,-0.4934,0.2411,1000,-2.05,0.0409,0.05,-0.9665,-0.02040
2470,RR,0.6105,0.1472,1000,4.15,<.0001,0.05,0.3217,0.8993
2479,Zero-Inflation Proportion pi,0.3759,0.1364,1000,2.76,0.0060,0.05,0.1082,0.6436
2479,logRR,0.2963,0.2301,1000,1.29,0.1980,0.05,-0.1551,0.7478
2479,RR,1.3449,0.3094,1000,4.35,<.0001,0.05,0.7378,1.9520
3023,Zero-Inflation Proportion pi,0.000013,0.001142,1000,0.01,0.9912,0.05,-0.00223,0.002254
3023,logRR,0.04642,0.2030,1000,0.23,0.8191,0.05,-0.3519,0.4447
3023,RR,1.0475,0.2126,1000,4.93,<.0001,0.05,0.6303,1.4647
3223,Zero-Inflation Proportion pi,9.717E-6,,1000,,,0.05,,
3223,logRR,-0.1662,0.2277,1000,-0.73,0.4654,0.05,-0.6130,0.2805
3223,RR,0.8469,0.1928,1000,4.39,<.0001,0.05,0.4685,1.2252
3596,Zero-Inflation Proportion pi,6.886E-6,0.000354,1000,0.02,0.9845,0.05,-0.00069,0.000701
3596,logRR,-1.2986,0.2327,1000,-5.58,<.0001,0.05,-1.7552,-0.8420
3596,RR,0.2729,0.06350,1000,4.30,<.0001,0.05,0.1483,0.3975
3614,Zero-Inflation Proportion pi,0.09412,,1000,,,0.05,,
3614,logRR,-2.4193,,1000,,,0.05,,
3614,RR,0.08899,,1000,,,0.05,,
3809,Zero-Inflation Proportion pi,0.1999,0.1269,1000,1.57,0.1156,0.05,-0.04916,0.4490
3809,logRR,0.1500,0.2467,1000,0.61,0.5434,0.05,-0.3342,0.6342
3809,RR,1.1618,0.2867,1000,4.05,<.0001,0.05,0.5993,1.7244
3959,Zero-Inflation Proportion pi,0.2039,0.1352,1000,1.51,0.1319,0.05,-0.06143,0.4693
3959,logRR,0.08129,0.3022,1000,0.27,0.7880,0.05,-0.5118,0.6744
3959,RR,1.0847,0.3278,1000,3.31,0.0010,0.05,0.4414,1.7280
4004,Zero-Inflation Proportion pi,0.07475,,1000,,,0.05,,
4004,logRR,0.1100,,1000,,,0.05,,
4004,RR,1.1163,,1000,,,0.05,,
4151,Zero-Inflation Proportion pi,0.000073,0.007105,1000,0.01,0.9918,0.05,-0.01387,0.01402
4151,logRR,-0.8058,0.5465,1000,-1.47,0.1407,0.05,-1.8782,0.2666
4151,RR,0.4467,0.2441,1000,1.83,0.0676,0.05,-0.03233,0.9258
4154,Zero-Inflation Proportion pi,1.04E-6,0.000552,1000,0.00,0.9985,0.05,-0.00108,0.001084
4154,logRR,-0.6360,0.5340,1000,-1.19,0.2340,0.05,-1.6840,0.4120
4154,RR,0.5294,0.2827,1000,1.87,0.0614,0.05,-0.02539,1.0842
4586,Zero-Inflation Proportion pi,0.1963,0.08886,1000,2.21,0.0274,0.05,0.02189,0.3706
4586,logRR,-0.1457,0.07988,1000,-1.82,0.0685,0.05,-0.3024,0.01107
4586,RR,0.8644,0.06905,1000,12.52,<.0001,0.05,0.7289,0.9999
4994,Zero-Inflation Proportion pi,0.000019,,1000,,,0.05,,
4994,logRR,0.3664,,1000,,,0.05,,
4994,RR,1.4425,,1000,,,0.05,,
5654,Zero-Inflation Proportion pi,0.1646,0.1790,1000,0.92,0.3581,0.05,-0.1867,0.5160
5654,logRR,-0.4703,0.4198,1000,-1.12,0.2629,0.05,-1.2942,0.3535
5654,RR,0.6248,0.2623,1000,2.38,0.0174,0.05,0.1100,1.1395
5805,Zero-Inflation Proportion pi,0.2513,,1000,,,0.05,,
5805,logRR,0.5721,,1000,,,0.05,,
5805,RR,1.7719,,1000,,,0.05,,
5823,Zero-Inflation Proportion pi,8.78E-11,,1000,,,0.05,,
5823,logRR,-0.1994,0.3335,1000,-0.60,0.5500,0.05,-0.8539,0.4550
5823,RR,0.8192,0.2732,1000,3.00,0.0028,0.05,0.2831,1.3554
6094,Zero-Inflation Proportion pi,0.04819,0.08051,1000,0.60,0.5496,0.05,-0.1098,0.2062
6094,logRR,-1.8654,1.3089,1000,-1.43,0.1544,0.05,-4.4338,0.7031
6094,RR,0.1548,0.2027,1000,0.76,0.4450,0.05,-0.2429,0.5525
6265,Zero-Inflation Proportion pi,0.1994,0.1532,1000,1.30,0.1933,0.05,-0.1012,0.5000
6265,logRR,-1.3769,0.7223,1000,-1.91,0.0569,0.05,-2.7944,0.04055
6265,RR,0.2524,0.1823,1000,1.38,0.1665,0.05,-0.1053,0.6101
6517,Zero-Inflation Proportion pi,0.2224,0.1337,1000,1.66,0.0966,0.05,-0.04000,0.4848
6517,logRR,0.008487,,1000,,,0.05,,
6517,RR,1.0085,,1000,,,0.05,,
6592,Zero-Inflation Proportion pi,0.02821,,1000,,,0.05,,
6592,logRR,0.5038,,1000,,,0.05,,
6592,RR,1.6550,,1000,,,0.05,,
6640,Zero-Inflation Proportion pi,1.234E-6,,1000,,,0.05,,
6640,logRR,1.8271,0.6092,1000,3.00,0.0028,0.05,0.6317,3.0225
6640,RR,6.2157,3.7865,1000,1.64,0.1010,0.05,-1.2147,13.6461
6660,Zero-Inflation Proportion pi,0.2187,0.1075,1000,2.04,0.0421,0.05,0.007840,0.4296
6660,logRR,-0.2549,0.2083,1000,-1.22,0.2214,0.05,-0.6636,0.1539
6660,RR,0.7750,0.1614,1000,4.80,<.0001,0.05,0.4582,1.0918
6694,Zero-Inflation Proportion pi,0.01305,0.05227,1000,0.25,0.8029,0.05,-0.08952,0.1156
6694,logRR,2.4529,0.8568,1000,2.86,0.0043,0.05,0.7715,4.1343
6694,RR,11.6221,9.9582,1000,1.17,0.2435,0.05,-7.9193,31.1634
6868,Zero-Inflation Proportion pi,0.000019,0.002615,1000,0.01,0.9941,0.05,-0.00511,0.005151
6868,logRR,0.7075,0.2901,1000,2.44,0.0149,0.05,0.1382,1.2768
6868,RR,2.0290,0.5886,1000,3.45,0.0006,0.05,0.8738,3.1841
6889,Zero-Inflation Proportion pi,0.000021,0.002219,1000,0.01,0.9925,0.05,-0.00433,0.004375
6889,logRR,0.5470,0.4691,1000,1.17,0.2439,0.05,-0.3736,1.4675
6889,RR,1.7280,0.8106,1000,2.13,0.0333,0.05,0.1373,3.3188
6892,Zero-Inflation Proportion pi,0.000176,,1000,,,0.05,,
6892,logRR,-0.01302,,1000,,,0.05,,
6892,RR,0.9871,,1000,,,0.05,,
6916,Zero-Inflation Proportion pi,0.2674,0.1120,1000,2.39,0.0171,0.05,0.04764,0.4872
6916,logRR,0.03584,0.1067,1000,0.34,0.7370,0.05,-0.1735,0.2452
6916,RR,1.0365,0.1106,1000,9.37,<.0001,0.05,0.8195,1.2535
6955,Zero-Inflation Proportion pi,0.09018,0.05321,1000,1.69,0.0904,0.05,-0.01423,0.1946
6955,logRR,0.6968,0.1388,1000,5.02,<.0001,0.05,0.4245,0.9691
6955,RR,2.0074,0.2785,1000,7.21,<.0001,0.05,1.4608,2.5540
6979,Zero-Inflation Proportion pi,0.1088,0.09820,1000,1.11,0.2684,0.05,-0.08395,0.3015
6979,logRR,0.5085,0.2199,1000,2.31,0.0210,0.05,0.07699,0.9400
6979,RR,1.6628,0.3657,1000,4.55,<.0001,0.05,0.9453,2.3804
6981,Zero-Inflation Proportion pi,0.2154,0.07807,1000,2.76,0.0059,0.05,0.06219,0.3686
6981,logRR,-0.1878,0.3589,1000,-0.52,0.6008,0.05,-0.8921,0.5164
6981,RR,0.8288,0.2974,1000,2.79,0.0054,0.05,0.2451,1.4124
6985,Zero-Inflation Proportion pi,0.2176,0.1186,1000,1.83,0.0669,0.05,-0.01519,0.4504
6985,logRR,0.8409,0.2451,1000,3.43,0.0006,0.05,0.3600,1.3219
6985,RR,2.3186,0.5682,1000,4.08,<.0001,0.05,1.2035,3.4336
6988,Zero-Inflation Proportion pi,0.05252,3.811E-6,1000,13779.9,<.0001,0.05,0.05251,0.05253
6988,logRR,0.04892,0.000064,1000,761.68,<.0001,0.05,0.04879,0.04905
6988,RR,1.0501,0.000067,1000,15570.1,<.0001,0.05,1.0500,1.0503
6991,Zero-Inflation Proportion pi,1.535E-6,,1000,,,0.05,,
6991,logRR,0.3922,0.1988,1000,1.97,0.0487,0.05,0.002206,0.7822
6991,RR,1.4803,0.2942,1000,5.03,<.0001,0.05,0.9029,2.0576
6994,Zero-Inflation Proportion pi,0.08941,0.1244,1000,0.72,0.4725,0.05,-0.1547,0.3335
6994,logRR,0.5926,0.2147,1000,2.76,0.0059,0.05,0.1713,1.0140
6994,RR,1.8088,0.3883,1000,4.66,<.0001,0.05,1.0467,2.5708
7000,Zero-Inflation Proportion pi,0.1633,0.1098,1000,1.49,0.1372,0.05,-0.05211,0.3787
7000,logRR,0.06328,0.08415,1000,0.75,0.4523,0.05,-0.1019,0.2284
7000,RR,1.0653,0.08965,1000,11.88,<.0001,0.05,0.8894,1.2412
7123,Zero-Inflation Proportion pi,0.000041,,1000,,,0.05,,
7123,logRR,0.2182,,1000,,,0.05,,
7123,RR,1.2438,,1000,,,0.05,,
7144,Zero-Inflation Proportion pi,0.000557,0.01063,1000,0.05,0.9582,0.05,-0.02030,0.02141
7144,logRR,-0.00588,0.09905,1000,-0.06,0.9527,0.05,-0.2002,0.1885
7144,RR,0.9941,0.09847,1000,10.10,<.0001,0.05,0.8009,1.1874
7360,Zero-Inflation Proportion pi,0.2911,0.08581,1000,3.39,0.0007,0.05,0.1227,0.4595
7360,logRR,0.3866,0.2374,1000,1.63,0.1037,0.05,-0.07919,0.8525
7360,RR,1.4720,0.3494,1000,4.21,<.0001,0.05,0.7863,2.1578
7384,Zero-Inflation Proportion pi,0.2483,,1000,,,0.05,,
7384,logRR,-0.01106,,1000,,,0.05,,
7384,RR,0.9890,,1000,,,0.05,,
7387,Zero-Inflation Proportion pi,0.2082,0.08291,1000,2.51,0.0122,0.05,0.04553,0.3709
7387,logRR,-0.2751,0.07409,1000,-3.71,0.0002,0.05,-0.4205,-0.1297
7387,RR,0.7595,0.05627,1000,13.50,<.0001,0.05,0.6491,0.8699
7399,Zero-Inflation Proportion pi,0.3570,0.1281,1000,2.79,0.0054,0.05,0.1056,0.6083
7399,logRR,-0.3777,0.1332,1000,-2.83,0.0047,0.05,-0.6391,-0.1162
7399,RR,0.6855,0.09133,1000,7.51,<.0001,0.05,0.5062,0.8647
7405,Zero-Inflation Proportion pi,0.1690,,1000,,,0.05,,
7405,logRR,-0.09794,,1000,,,0.05,,
7405,RR,0.9067,,1000,,,0.05,,
7636,Zero-Inflation Proportion pi,8.701E-6,0.000312,1000,0.03,0.9778,0.05,-0.00060,0.000621
7636,logRR,0.3571,0.2088,1000,1.71,0.0875,0.05,-0.05262,0.7667
7636,RR,1.4291,0.2984,1000,4.79,<.0001,0.05,0.8436,2.0146
7864,Zero-Inflation Proportion pi,0.2711,0.1335,1000,2.03,0.0425,0.05,0.009253,0.5330
7864,logRR,-0.1915,0.1169,1000,-1.64,0.1018,0.05,-0.4209,0.03798
7864,RR,0.8257,0.09656,1000,8.55,<.0001,0.05,0.6363,1.0152
7868,Zero-Inflation Proportion pi,0.1317,0.1281,1000,1.03,0.3039,0.05,-0.1196,0.3830
7868,logRR,0.3372,0.2017,1000,1.67,0.0949,0.05,-0.05869,0.7330
7868,RR,1.4010,0.2826,1000,4.96,<.0001,0.05,0.8464,1.9556
7872,Zero-Inflation Proportion pi,0.1248,,1000,,,0.05,,
7872,logRR,0.1900,,1000,,,0.05,,
7872,RR,1.2093,,1000,,,0.05,,
7953,Zero-Inflation Proportion pi,0.05148,,1000,,,0.05,,
7953,logRR,-0.09521,,1000,,,0.05,,
7953,RR,0.9092,,1000,,,0.05,,
8124,Zero-Inflation Proportion pi,0.2770,,1000,,,0.05,,
8124,logRR,1.5358,,1000,,,0.05,,
8124,RR,4.6452,,1000,,,0.05,,
8126,Zero-Inflation Proportion pi,0.1556,1.593E-6,1000,97673.4,<.0001,0.05,0.1556,0.1556
8126,logRR,0.9712,0.000011,1000,86767.9,<.0001,0.05,0.9712,0.9712
8126,RR,2.6412,0.000030,1000,89339.4,<.0001,0.05,2.6411,2.6412
8202,Zero-Inflation Proportion pi,0.000035,,1000,,,0.05,,
8202,logRR,0.6116,,1000,,,0.05,,
8202,RR,1.8433,,1000,,,0.05,,
8933,Zero-Inflation Proportion pi,0.1073,,1000,,,0.05,,
8933,logRR,0.09664,,1000,,,0.05,,
8933,RR,1.1015,,1000,,,0.05,,
9114,Zero-Inflation Proportion pi,0.1258,,1000,,,0.05,,
9114,logRR,0.2625,,1000,,,0.05,,
9114,RR,1.3002,,1000,,,0.05,,
9130,Zero-Inflation Proportion pi,0.07074,,1000,,,0.05,,
9130,logRR,-0.1686,,1000,,,0.05,,
9130,RR,0.8449,,1000,,,0.05,,
9650,Zero-Inflation Proportion pi,0.3694,0.09319,1000,3.96,<.0001,0.05,0.1865,0.5522
9650,logRR,-0.3322,0.1190,1000,-2.79,0.0053,0.05,-0.5657,-0.09869
9650,RR,0.7173,0.08537,1000,8.40,<.0001,0.05,0.5498,0.8849
9656,Zero-Inflation Proportion pi,0.1191,0.1158,1000,1.03,0.3037,0.05,-0.1080,0.3463
9656,logRR,-0.5689,0.3854,1000,-1.48,0.1403,0.05,-1.3252,0.1875
9656,RR,0.5662,0.2182,1000,2.59,0.0096,0.05,0.1379,0.9944
9668,Zero-Inflation Proportion pi,0.3298,1.711E-6,1000,192812,<.0001,0.05,0.3298,0.3298
9668,logRR,-0.5196,8.986E-6,1000,-57828,<.0001,0.05,-0.5196,-0.5196
9668,RR,0.5947,5.344E-6,1000,111289,<.0001,0.05,0.5947,0.5948
