metaanalysisid,Label,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper
59,Zero-Inflation Proportion pi,0.001088,,1000,,,0.05,,
59,logRR,0.1099,,1000,,,0.05,,
59,RR,1.1162,,1000,,,0.05,,
161,Zero-Inflation Proportion pi,0.000747,,1000,,,0.05,,
161,logRR,0.1131,,1000,,,0.05,,
161,RR,1.1198,,1000,,,0.05,,
727,Zero-Inflation Proportion pi,0.2462,,1000,,,0.05,,
727,logRR,0.05508,,1000,,,0.05,,
727,RR,1.0566,,1000,,,0.05,,
728,Zero-Inflation Proportion pi,0.1594,0.1536,1000,1.04,0.2996,0.05,-0.1420,0.4607
728,logRR,0.2742,0.3817,1000,0.72,0.4727,0.05,-0.4748,1.0231
728,RR,1.3154,0.5021,1000,2.62,0.0089,0.05,0.3302,2.3006
733,Zero-Inflation Proportion pi,0.000123,,1000,,,0.05,,
733,logRR,-0.6624,,1000,,,0.05,,
733,RR,0.5156,,1000,,,0.05,,
752,Zero-Inflation Proportion pi,0.2054,0.1104,1000,1.86,0.0632,0.05,-0.01132,0.4220
752,logRR,-0.1576,0.1884,1000,-0.84,0.4031,0.05,-0.5272,0.2121
752,RR,0.8542,0.1609,1000,5.31,<.0001,0.05,0.5385,1.1700
755,Zero-Inflation Proportion pi,0.000021,,1000,,,0.05,,
755,logRR,-0.1614,,1000,,,0.05,,
755,RR,0.8510,,1000,,,0.05,,
770,Zero-Inflation Proportion pi,0.001431,,1000,,,0.05,,
770,logRR,0.1484,0.4305,1000,0.34,0.7303,0.05,-0.6963,0.9931
770,RR,1.1600,0.4993,1000,2.32,0.0204,0.05,0.1801,2.1398
836,Zero-Inflation Proportion pi,0.000034,,1000,,,0.05,,
836,logRR,-0.1321,0.1556,1000,-0.85,0.3960,0.05,-0.4374,0.1732
836,RR,0.8762,0.1363,1000,6.43,<.0001,0.05,0.6087,1.1438
866,Zero-Inflation Proportion pi,0.01658,,1000,,,0.05,,
866,logRR,-0.05459,,1000,,,0.05,,
866,RR,0.9469,,1000,,,0.05,,
869,Zero-Inflation Proportion pi,0.000089,0.01688,1000,0.01,0.9958,0.05,-0.03303,0.03320
869,logRR,-0.1537,0.1483,1000,-1.04,0.3001,0.05,-0.4447,0.1373
869,RR,0.8575,0.1272,1000,6.74,<.0001,0.05,0.6080,1.1070
1417,Zero-Inflation Proportion pi,0.1067,1.46E-6,1000,73128.2,<.0001,0.05,0.1067,0.1067
1417,logRR,-0.01890,8.787E-6,1000,-2151.1,<.0001,0.05,-0.01892,-0.01888
1417,RR,0.9813,8.622E-6,1000,113804,<.0001,0.05,0.9813,0.9813
1576,Zero-Inflation Proportion pi,0.1870,1.113E-6,1000,168084,<.0001,0.05,0.1870,0.1870
1576,logRR,-0.4168,0.000012,1000,-35613,<.0001,0.05,-0.4168,-0.4168
1576,RR,0.6591,7.715E-6,1000,85439.7,<.0001,0.05,0.6591,0.6592
1603,Zero-Inflation Proportion pi,0.1320,,1000,,,0.05,,
1603,logRR,-0.2893,,1000,,,0.05,,
1603,RR,0.7488,,1000,,,0.05,,
1696,Zero-Inflation Proportion pi,0.1297,,1000,,,0.05,,
1696,logRR,-0.09878,,1000,,,0.05,,
1696,RR,0.9059,,1000,,,0.05,,
1702,Zero-Inflation Proportion pi,0.1547,0.08116,1000,1.91,0.0569,0.05,-0.00456,0.3140
1702,logRR,-0.3125,0.07454,1000,-4.19,<.0001,0.05,-0.4588,-0.1662
1702,RR,0.7316,0.05454,1000,13.41,<.0001,0.05,0.6246,0.8386
1864,Zero-Inflation Proportion pi,8.39E-6,,1000,,,0.05,,
1864,logRR,0.8337,,1000,,,0.05,,
1864,RR,2.3017,,1000,,,0.05,,
1892,Zero-Inflation Proportion pi,0.2130,1.174E-6,1000,181465,<.0001,0.05,0.2130,0.2130
1892,logRR,0.3925,0.000014,1000,28986.3,<.0001,0.05,0.3925,0.3925
1892,RR,1.4807,0.000020,1000,73849.4,<.0001,0.05,1.4806,1.4807
1974,Zero-Inflation Proportion pi,0.000216,0.008214,1000,0.03,0.9790,0.05,-0.01590,0.01633
1974,logRR,-0.4066,0.2423,1000,-1.68,0.0936,0.05,-0.8821,0.06883
1974,RR,0.6659,0.1613,1000,4.13,<.0001,0.05,0.3493,0.9825
2007,Zero-Inflation Proportion pi,0.000019,0.002392,1000,0.01,0.9935,0.05,-0.00467,0.004713
2007,logRR,-0.2785,0.2157,1000,-1.29,0.1971,0.05,-0.7018,0.1449
2007,RR,0.7569,0.1633,1000,4.64,<.0001,0.05,0.4365,1.0774
2090,Zero-Inflation Proportion pi,0.2358,0.1562,1000,1.51,0.1315,0.05,-0.07072,0.5423
2090,logRR,0.7166,0.5571,1000,1.29,0.1986,0.05,-0.3765,1.8098
2090,RR,2.0476,1.1406,1000,1.80,0.0729,0.05,-0.1908,4.2859
2256,Zero-Inflation Proportion pi,1.771E-9,1.6E-6,1000,0.00,0.9991,0.05,-3.14E-6,3.141E-6
2256,logRR,1.2157,0.4188,1000,2.90,0.0038,0.05,0.3940,2.0375
2256,RR,3.3727,1.4123,1000,2.39,0.0171,0.05,0.6012,6.1442
2262,Zero-Inflation Proportion pi,0.000019,0.002294,1000,0.01,0.9935,0.05,-0.00448,0.004521
2262,logRR,3.0353,0.7502,1000,4.05,<.0001,0.05,1.5631,4.5074
2262,RR,20.8069,15.6092,1000,1.33,0.1828,0.05,-9.8237,51.4375
2292,Zero-Inflation Proportion pi,0.000896,,1000,,,0.05,,
2292,logRR,-0.3916,,1000,,,0.05,,
2292,RR,0.6760,,1000,,,0.05,,
